LoanID,OriginationDate,CustomerID,ProductID,BranchID,DisbursedAmount_VND,TermMonths,InterestRate,Status
L001393,2025-06-20,C01069,P104,B042,49379270,12,0.1396,Disbursed
L001394,2025-06-03,C04758,P102,B046,21350244,60,0.1251,Disbursed
L001395,2025-06-15,C00727,P102,B006,48244843,180,0.1502,Disbursed
L001396,2025-06-07,C04167,P103,B033,30837955,24,0.0816,Disbursed
L001397,2025-06-30,C01860,P105,B026,34556378,180,0.092,Disbursed
L001398,2025-06-29,C04418,P102,B006,67010211,36,0.1355,Disbursed
L001399,2025-06-23,C02143,P105,B040,3777102246,12,0.1187,Approved Not Disbursed
L001400,2025-06-15,C02102,P102,B045,687801563,60,0.0932,Disbursed
L001401,2025-06-02,C01947,P105,B020,56549868,240,0.1488,Disbursed
L001402,2025-06-11,C03400,P106,B028,120243702,24,0.0811,Disbursed
L001403,2025-06-30,C00699,P103,B001,62909287,12,0.0795,Disbursed
L001404,2025-06-02,C04800,P102,B028,623411611,60,0.0979,Disbursed
L001405,2025-06-22,C02057,P103,B011,664383951,60,0.0924,Disbursed
L001406,2025-06-11,C02215,P105,B021,44054025,12,0.0905,Disbursed
L001407,2025-06-21,C02000,P105,B019,4723707191,36,0.0888,Disbursed
L001408,2025-06-23,C02564,P102,B041,32095809,180,0.0984,Disbursed
L001409,2025-06-14,C03562,P103,B003,54869077,60,0.1507,Approved Not Disbursed
L001410,2025-06-06,C01045,P104,B021,41901188,12,0.1086,Disbursed
L001411,2025-06-01,C04540,P106,B048,57049110,24,0.1162,Disbursed
L001412,2025-06-12,C00512,P103,B043,57168667,12,0.0933,Disbursed
L001413,2025-06-02,C02583,P106,B002,82097109,180,0.0831,Disbursed
L001414,2025-06-20,C00055,P106,B018,431031190,12,0.1023,Disbursed
L001415,2025-06-17,C04566,P102,B001,58598434,240,0.1198,Disbursed
L001416,2025-06-23,C02723,P102,B049,3453144105,24,0.0938,Disbursed
L001417,2025-06-03,C01163,P101,B030,110175148,36,0.1037,Disbursed
L001418,2025-06-06,C02892,P102,B033,21399585,240,0.1106,Disbursed
L001419,2025-06-14,C01581,P103,B013,37706485,12,0.1549,Disbursed
L001420,2025-06-13,C04046,P104,B032,18391524,12,0.1406,Disbursed
L001421,2025-06-28,C03418,P106,B025,424757016,120,0.119,Disbursed
L001422,2025-06-21,C01435,P105,B029,11404549411,12,0.0871,Disbursed
L001423,2025-06-26,C01207,P102,B020,21541900,60,0.1355,Disbursed
L001424,2025-06-02,C03223,P104,B029,384046263,120,0.1254,Disbursed
L001425,2025-06-30,C01734,P103,B031,518431680,240,0.0849,Disbursed
L001426,2025-06-17,C03920,P102,B002,35163136,240,0.0758,Rejected
L001427,2025-06-11,C01151,P104,B043,790865006,36,0.1537,Disbursed
L001428,2025-06-05,C04266,P101,B018,66898170,36,0.1355,Disbursed
L001429,2025-06-16,C02285,P106,B038,55694602,180,0.137,Disbursed
L001430,2025-06-19,C04061,P106,B019,433636879,24,0.105,Disbursed
L001431,2025-06-10,C03834,P106,B021,37798050,60,0.0969,Rejected
L001432,2025-06-25,C00661,P106,B013,47940682,60,0.0948,Approved Not Disbursed
L001433,2025-06-23,C02686,P104,B039,82849907,12,0.1334,Disbursed
L001434,2025-06-03,C03050,P105,B019,56134463,12,0.0794,Rejected
L001435,2025-06-04,C04157,P105,B034,76158105,240,0.0967,Rejected
L001436,2025-06-27,C04067,P101,B002,452084319,36,0.1119,Disbursed
