LoanID,OriginationDate,CustomerID,ProductID,BranchID,DisbursedAmount_VND,TermMonths,InterestRate,Status
L000942,2024-09-28,C01546,P102,B024,750134597,120,0.1308,Disbursed
L000943,2024-09-19,C02773,P104,B041,48046274,36,0.0759,Disbursed
L000944,2024-09-10,C02758,P102,B014,28529267,180,0.0844,Disbursed
L000945,2024-09-02,C01025,P103,B012,47023646,180,0.1413,Disbursed
L000946,2024-09-16,C01939,P104,B010,4211176037,240,0.1258,Disbursed
L000947,2024-09-05,C02018,P104,B027,786676660,24,0.0776,Disbursed
L000948,2024-09-26,C03013,P103,B019,784405098,180,0.1034,Disbursed
L000949,2024-09-16,C04166,P101,B009,769070404,180,0.1173,Disbursed
L000950,2024-09-24,C00960,P106,B026,23596453,120,0.085,Disbursed
L000951,2024-09-03,C01772,P104,B022,449555908,240,0.1368,Approved Not Disbursed
L000952,2024-09-04,C01262,P103,B019,87935200,12,0.1327,Disbursed
L000953,2024-09-06,C02317,P105,B019,219781111,36,0.0948,Disbursed
L000954,2024-09-01,C01078,P105,B012,44433687,180,0.0974,Disbursed
L000955,2024-09-13,C02716,P102,B019,35629170,36,0.1502,Disbursed
L000956,2024-09-01,C02664,P102,B010,17798573087,24,0.0926,Disbursed
L000957,2024-09-26,C00036,P102,B013,77237704,36,0.1117,Disbursed
L000958,2024-09-10,C00589,P101,B039,28171476,24,0.0825,Disbursed
L000959,2024-09-29,C03439,P104,B034,7061519955,240,0.1172,Approved Not Disbursed
L000960,2024-09-04,C01060,P104,B022,6333986130,180,0.1262,Disbursed
L000961,2024-09-19,C03307,P103,B041,100246245,180,0.1136,Approved Not Disbursed
L000962,2024-09-24,C04847,P101,B030,24786679,36,0.1526,Disbursed
L000963,2024-09-06,C03658,P105,B031,48242323,36,0.1451,Disbursed
L000964,2024-09-06,C04527,P105,B005,50988066,120,0.1396,Rejected
L000965,2024-09-20,C00022,P105,B021,89766064,24,0.0822,Disbursed
L000966,2024-09-02,C03283,P103,B014,56127154,60,0.0955,Disbursed
L000967,2024-09-25,C00764,P104,B035,63624086,180,0.077,Disbursed
L000968,2024-09-14,C00154,P101,B019,57295397,60,0.0923,Approved Not Disbursed
L000969,2024-09-09,C02285,P102,B038,39306772,36,0.1505,Disbursed
L000970,2024-09-03,C04540,P101,B048,66277763,12,0.1146,Disbursed
L000971,2024-09-09,C02460,P106,B011,40766847,12,0.1365,Disbursed
L000972,2024-09-12,C04197,P102,B050,73129686,36,0.0971,Disbursed
L000973,2024-09-23,C00893,P105,B013,19701693,180,0.0777,Disbursed
L000974,2024-09-13,C01232,P105,B046,19114562,180,0.0968,Approved Not Disbursed
L000975,2024-09-09,C03470,P101,B005,2354374852,120,0.1379,Rejected
L000976,2024-09-27,C04324,P105,B050,4808760561,240,0.1382,Disbursed
L000977,2024-09-17,C03898,P102,B037,36530681,24,0.1187,Disbursed
L000978,2024-09-09,C00635,P102,B048,3957127021,12,0.1212,Rejected
L000979,2024-09-19,C03503,P105,B013,20854775133,120,0.0944,Disbursed
L000980,2024-09-04,C00721,P106,B027,65948302,240,0.0761,Approved Not Disbursed
L000981,2024-09-11,C04320,P104,B050,37854269,120,0.0962,Disbursed
L000982,2024-09-21,C01201,P102,B008,40815027,36,0.0919,Disbursed
L000983,2024-09-11,C03349,P102,B025,7227424369,24,0.123,Disbursed
L000984,2024-09-15,C02453,P102,B026,72957578,24,0.1063,Disbursed
L000985,2024-09-28,C04983,P102,B022,51107096,24,0.0816,Disbursed
L000986,2024-09-03,C04172,P104,B021,673590190,12,0.1477,Disbursed
L000987,2024-09-12,C02661,P105,B015,39374073,36,0.1523,Disbursed
L000988,2024-09-25,C03925,P104,B018,45385632,240,0.0827,Disbursed
L000989,2024-09-22,C02311,P104,B001,67782763,180,0.1342,Disbursed
L000990,2024-09-29,C03435,P104,B010,22639300,24,0.1221,Disbursed
L000991,2024-09-07,C04666,P106,B010,65610937,180,0.1023,Disbursed
L000992,2024-09-28,C04714,P104,B048,68439978,240,0.1187,Approved Not Disbursed
L000993,2024-09-21,C04029,P104,B024,73642612,36,0.1194,Disbursed
L000994,2024-09-05,C04049,P101,B020,44239901,12,0.1228,Disbursed
