LoanID,OriginationDate,CustomerID,ProductID,BranchID,DisbursedAmount_VND,TermMonths,InterestRate,Status
L000094,2023-03-01,C03784,P106,B027,778072950,120,0.1242,Disbursed
L000095,2023-03-18,C04605,P102,B018,38432901,60,0.101,Disbursed
L000096,2023-03-11,C01398,P104,B017,18987423,180,0.0934,Disbursed
L000097,2023-03-18,C04135,P102,B018,82380048,240,0.1501,Disbursed
L000098,2023-03-23,C01887,P105,B030,69998370,120,0.1107,Disbursed
L000099,2023-03-29,C00987,P101,B041,36996267,180,0.1489,Disbursed
L000100,2023-03-11,C02617,P101,B047,26645921,24,0.0808,Disbursed
L000101,2023-03-03,C04338,P104,B040,35741419,180,0.1443,Disbursed
L000102,2023-03-27,C02888,P105,B024,40620574,60,0.1276,Disbursed
L000103,2023-03-31,C01203,P104,B030,36609537,12,0.1524,Disbursed
L000104,2023-03-09,C02466,P106,B026,1307766487,180,0.1326,Disbursed
L000105,2023-03-23,C01269,P105,B043,54255590,24,0.0979,Rejected
L000106,2023-03-01,C01702,P106,B022,2157826176,240,0.117,Disbursed
L000107,2023-03-17,C04488,P106,B025,63236932,24,0.1066,Disbursed
L000108,2023-03-07,C03821,P106,B027,32814024,60,0.1221,Disbursed
L000109,2023-03-03,C02016,P102,B020,36363972,12,0.1004,Disbursed
L000110,2023-03-23,C02582,P103,B045,56272557,180,0.1014,Disbursed
L000111,2023-03-03,C01624,P105,B048,71109541,36,0.0917,Disbursed
L000112,2023-03-18,C04836,P105,B029,60095812,180,0.1078,Disbursed
L000113,2023-03-01,C00416,P101,B021,32386566,12,0.0872,Disbursed
L000114,2023-03-19,C00650,P103,B046,43146730,180,0.1211,Disbursed
L000115,2023-03-04,C04152,P104,B015,39866574,240,0.077,Disbursed
L000116,2023-03-23,C01569,P102,B010,62125122,60,0.084,Disbursed
L000117,2023-03-04,C00120,P105,B023,2652488277,240,0.1029,Disbursed
L000118,2023-03-03,C03005,P105,B042,22156859,12,0.1078,Disbursed
L000119,2023-03-27,C00525,P101,B034,495062571,240,0.1458,Disbursed
L000120,2023-03-10,C01753,P106,B039,213732838,36,0.0858,Disbursed
L000121,2023-03-03,C02508,P102,B019,50558748,36,0.1402,Disbursed
L000122,2023-03-18,C00096,P104,B026,47993153,12,0.1333,Disbursed
L000123,2023-03-10,C00420,P105,B026,1280986965,36,0.1348,Disbursed
L000124,2023-03-30,C04500,P104,B050,45160718,240,0.1503,Rejected
L000125,2023-03-28,C03499,P104,B027,89428635,180,0.1441,Disbursed
L000126,2023-03-02,C02973,P103,B048,35893596,120,0.1095,Disbursed
L000127,2023-03-24,C00257,P106,B017,81996795,60,0.1298,Approved Not Disbursed
L000128,2023-03-07,C01377,P104,B025,46376407,24,0.0978,Disbursed
L000129,2023-03-07,C02597,P103,B014,35105559,36,0.0893,Disbursed
L000130,2023-03-30,C04448,P105,B041,2698627595,120,0.1279,Disbursed
L000131,2023-03-10,C01600,P104,B043,28005930,24,0.0884,Disbursed
L000132,2023-03-07,C03919,P103,B031,7141911052,24,0.1324,Disbursed
