LoanID,OriginationDate,CustomerID,ProductID,BranchID,DisbursedAmount_VND,TermMonths,InterestRate,Status
L000371,2023-09-08,C02861,P105,B042,24807572,36,0.1323,Disbursed
L000372,2023-09-14,C01392,P101,B039,42729701,120,0.0992,Disbursed
L000373,2023-09-01,C00303,P106,B029,4071234097,180,0.0771,Disbursed
L000374,2023-09-26,C02512,P106,B035,29575970,12,0.1416,Disbursed
L000375,2023-09-25,C02777,P105,B019,93161452,60,0.1471,Disbursed
L000376,2023-09-08,C00440,P104,B003,27624555,240,0.1311,Disbursed
L000377,2023-09-01,C00095,P103,B032,21895208,24,0.0839,Disbursed
L000378,2023-09-01,C03604,P106,B039,5113085289,180,0.1019,Disbursed
L000379,2023-09-27,C00639,P101,B027,1522655108,12,0.1349,Disbursed
L000380,2023-09-29,C04766,P106,B045,68440713,60,0.0833,Approved Not Disbursed
L000381,2023-09-10,C01710,P105,B004,6825111058,120,0.0901,Disbursed
L000382,2023-09-10,C03896,P106,B021,234645400,240,0.1179,Disbursed
L000383,2023-09-16,C00350,P101,B038,69360788,240,0.0863,Disbursed
L000384,2023-09-24,C01239,P106,B008,2085709302,12,0.1508,Disbursed
L000385,2023-09-20,C02545,P101,B035,85060368,36,0.0874,Rejected
L000386,2023-09-28,C04762,P106,B011,24147355,120,0.1058,Disbursed
L000387,2023-09-29,C03715,P103,B034,32525678,12,0.1175,Disbursed
L000388,2023-09-17,C00347,P104,B028,43932782,60,0.0928,Disbursed
L000389,2023-09-13,C04909,P101,B019,6671222782,60,0.1117,Disbursed
L000390,2023-09-12,C01578,P103,B014,60018289,60,0.0783,Rejected
L000391,2023-09-06,C00212,P102,B037,57735058,120,0.084,Disbursed
L000392,2023-09-16,C02073,P105,B045,1024165131,24,0.1048,Disbursed
L000393,2023-09-01,C04032,P104,B050,56625708,120,0.131,Disbursed
L000394,2023-09-12,C01095,P101,B029,27824428,120,0.1,Disbursed
L000395,2023-09-25,C00298,P102,B013,73139624,180,0.1367,Disbursed
L000396,2023-09-11,C01952,P103,B020,39671470,120,0.1329,Disbursed
L000397,2023-09-11,C04343,P106,B035,57397002,180,0.1167,Disbursed
L000398,2023-09-22,C02376,P103,B048,100680665,24,0.1542,Disbursed
L000399,2023-09-13,C03977,P101,B027,7666436311,120,0.1466,Disbursed
L000400,2023-09-25,C04791,P101,B049,792375035,120,0.0918,Disbursed
L000401,2023-09-22,C04464,P102,B043,71872946,60,0.1355,Approved Not Disbursed
L000402,2023-09-14,C00778,P103,B026,53856968,120,0.1203,Disbursed
L000403,2023-09-24,C01864,P104,B037,700441418,120,0.147,Disbursed
L000404,2023-09-25,C00531,P104,B034,35026803,240,0.0966,Disbursed
L000405,2023-09-19,C03443,P106,B035,28700931,60,0.151,Approved Not Disbursed
L000406,2023-09-26,C03919,P106,B031,3204973823,12,0.1164,Disbursed
L000407,2023-09-03,C01196,P104,B048,30826003,36,0.1454,Disbursed
L000408,2023-09-29,C03015,P101,B005,63649544,120,0.0865,Disbursed
L000409,2023-09-24,C03888,P106,B043,13631587373,120,0.1209,Disbursed
L000410,2023-09-21,C02962,P106,B030,48791085,12,0.1381,Disbursed
L000411,2023-09-03,C00448,P101,B033,70972140,60,0.1183,Disbursed
L000412,2023-09-29,C00084,P106,B042,29448183,180,0.1512,Disbursed
L000413,2023-09-29,C04871,P104,B006,53961688,60,0.119,Disbursed
L000414,2023-09-20,C04615,P103,B017,539664028,24,0.0868,Disbursed
L000415,2023-09-11,C04185,P106,B031,960443583,36,0.1214,Disbursed
