LoanID,OriginationDate,CustomerID,ProductID,BranchID,DisbursedAmount_VND,TermMonths,InterestRate,Status
L000001,2023-01-06,C03799,P104,B030,857137224,120,0.1089,Disbursed
L000002,2023-01-31,C01651,P106,B018,805723162,24,0.1139,Disbursed
L000003,2023-01-28,C02049,P105,B019,74643972,12,0.1237,Rejected
L000004,2023-01-20,C00063,P104,B041,733760787,24,0.1002,Approved Not Disbursed
L000005,2023-01-18,C01863,P105,B019,19785431,24,0.1448,Disbursed
L000006,2023-01-21,C03173,P101,B033,39187559,60,0.1075,Disbursed
L000007,2023-01-24,C02437,P103,B004,725558546,12,0.1382,Disbursed
L000008,2023-01-02,C04566,P106,B001,43577181,24,0.1436,Disbursed
L000009,2023-01-09,C00613,P101,B022,1084065785,24,0.1063,Disbursed
L000010,2023-01-26,C03973,P103,B045,49664137,60,0.1429,Rejected
L000011,2023-01-21,C00364,P101,B001,46305181,12,0.0898,Disbursed
L000012,2023-01-17,C04907,P106,B020,27396960,36,0.0814,Disbursed
L000013,2023-01-18,C02714,P104,B039,19903019826,240,0.075,Disbursed
L000014,2023-01-07,C01833,P104,B019,82261725,240,0.1404,Disbursed
L000015,2023-01-07,C04406,P103,B028,41355027,24,0.0783,Disbursed
L000016,2023-01-20,C00650,P102,B046,62232256,180,0.1125,Disbursed
L000017,2023-01-25,C00677,P102,B027,67817262,60,0.116,Disbursed
L000018,2023-01-22,C03052,P103,B049,94413468,24,0.1093,Disbursed
L000019,2023-01-28,C04509,P101,B007,46619443,180,0.1098,Disbursed
L000020,2023-01-21,C00938,P102,B002,79190939,24,0.0933,Disbursed
L000021,2023-01-17,C00738,P106,B048,155093382,120,0.1169,Disbursed
L000022,2023-01-05,C03436,P103,B009,1859506041,24,0.0774,Disbursed
L000023,2023-01-04,C04192,P101,B050,26064953,24,0.1199,Disbursed
L000024,2023-01-31,C00877,P105,B001,74323879,12,0.119,Disbursed
L000025,2023-01-30,C00696,P103,B035,173447039,36,0.102,Rejected
L000026,2023-01-22,C00271,P103,B006,32392793,60,0.1325,Disbursed
L000027,2023-01-17,C03253,P104,B035,72788225,24,0.1092,Disbursed
L000028,2023-01-03,C04891,P106,B006,132980290,120,0.0865,Disbursed
L000029,2023-01-23,C01541,P101,B040,1089472389,180,0.1511,Rejected
L000030,2023-01-27,C03707,P103,B016,75188586,120,0.0794,Disbursed
L000031,2023-01-04,C04604,P102,B021,67974974,24,0.1038,Disbursed
L000032,2023-01-27,C04886,P102,B019,60412798,12,0.1313,Disbursed
L000033,2023-01-05,C04870,P103,B043,64121250,60,0.104,Disbursed
L000034,2023-01-07,C00639,P101,B027,1434172541,60,0.1346,Approved Not Disbursed
L000035,2023-01-02,C04096,P104,B035,45462027,180,0.1111,Disbursed
L000036,2023-01-20,C01177,P104,B029,77183995,180,0.0952,Disbursed
L000037,2023-01-12,C04366,P104,B032,1327153049,36,0.0793,Disbursed
L000038,2023-01-15,C04772,P106,B017,21501502,240,0.1205,Disbursed
L000039,2023-01-05,C00412,P103,B027,1177872792,120,0.0984,Disbursed
L000040,2023-01-24,C03875,P106,B025,73981604,36,0.1343,Disbursed
L000041,2023-01-31,C02973,P101,B048,75750933,240,0.1002,Disbursed
L000042,2023-01-21,C00165,P105,B005,784721396,24,0.1048,Rejected
L000043,2023-01-01,C03481,P102,B019,585098095,36,0.112,Disbursed
L000044,2023-01-14,C04668,P103,B025,451288835,180,0.1375,Disbursed
L000045,2023-01-23,C04540,P101,B048,116350617,36,0.1178,Disbursed
L000046,2023-01-22,C04794,P106,B043,76538709,12,0.1474,Rejected
L000047,2023-01-15,C03153,P104,B022,50128348,240,0.1201,Disbursed
L000048,2023-01-15,C02349,P103,B048,1397646303,180,0.1219,Disbursed
L000049,2023-01-23,C01571,P101,B044,940743209,240,0.1301,Disbursed
L000050,2023-01-04,C03867,P106,B019,38921990,240,0.1386,Disbursed
L000051,2023-01-03,C02449,P106,B021,78954672,180,0.1483,Disbursed
L000052,2023-01-12,C03618,P105,B010,25526988,120,0.1256,Disbursed
