LoanID,OriginationDate,CustomerID,ProductID,BranchID,DisbursedAmount_VND,TermMonths,InterestRate,Status
L000650,2024-03-30,C04951,P105,B021,1086984049,24,0.0963,Disbursed
L000651,2024-03-04,C03684,P106,B034,987490350,24,0.128,Disbursed
L000652,2024-03-19,C01802,P101,B019,41195235,240,0.1477,Disbursed
L000653,2024-03-11,C04839,P105,B027,147124560,12,0.1323,Disbursed
L000654,2024-03-22,C02451,P104,B027,517916292,120,0.0763,Approved Not Disbursed
L000655,2024-03-08,C01903,P106,B049,22210676,36,0.1365,Disbursed
L000656,2024-03-06,C01669,P102,B011,36948489,24,0.1067,Disbursed
L000657,2024-03-12,C03100,P103,B022,4986718312,60,0.0786,Rejected
L000658,2024-03-31,C04618,P105,B016,47379907,36,0.1099,Disbursed
L000659,2024-03-10,C02615,P105,B015,40800226,36,0.1018,Disbursed
L000660,2024-03-23,C02901,P101,B040,22523350,240,0.1088,Disbursed
L000661,2024-03-22,C03729,P103,B042,63345374,60,0.1192,Disbursed
L000662,2024-03-09,C04014,P105,B004,33598873,120,0.1214,Approved Not Disbursed
L000663,2024-03-26,C03288,P103,B019,78486770,180,0.0787,Disbursed
L000664,2024-03-29,C01250,P105,B011,865273433,60,0.1365,Disbursed
L000665,2024-03-05,C01239,P105,B008,598137370,120,0.1407,Disbursed
L000666,2024-03-22,C01329,P105,B048,129457337,60,0.1167,Disbursed
L000667,2024-03-13,C01478,P101,B006,3001290346,180,0.1184,Disbursed
L000668,2024-03-23,C03297,P105,B019,36747143,36,0.1148,Disbursed
L000669,2024-03-05,C01990,P101,B046,390082835,24,0.1137,Disbursed
L000670,2024-03-12,C01169,P104,B025,45074030,24,0.14,Disbursed
L000671,2024-03-06,C02999,P103,B015,26480383,60,0.0757,Rejected
L000672,2024-03-01,C04267,P102,B017,1003518168,180,0.0993,Disbursed
L000673,2024-03-02,C03320,P103,B050,68995329,60,0.1462,Disbursed
L000674,2024-03-21,C01697,P104,B046,32885569,60,0.0981,Disbursed
L000675,2024-03-23,C00732,P106,B034,67593141,240,0.1103,Disbursed
L000676,2024-03-05,C03529,P103,B005,206588893,12,0.0815,Disbursed
L000677,2024-03-15,C00773,P103,B020,24484587,60,0.1047,Disbursed
L000678,2024-03-30,C01442,P103,B022,636133239,240,0.1437,Approved Not Disbursed
L000679,2024-03-21,C02175,P101,B015,23965539,60,0.1199,Disbursed
L000680,2024-03-07,C01026,P105,B049,364326170,240,0.0824,Approved Not Disbursed
L000681,2024-03-07,C02965,P103,B019,73950990,24,0.1153,Disbursed
L000682,2024-03-21,C03644,P101,B029,430023294,12,0.1087,Disbursed
L000683,2024-03-16,C00938,P105,B002,39770883,60,0.1411,Disbursed
L000684,2024-03-24,C00450,P101,B022,57579280,60,0.1011,Rejected
L000685,2024-03-11,C01780,P104,B011,65748409,24,0.1506,Disbursed
L000686,2024-03-06,C01515,P101,B012,9127289576,24,0.1299,Disbursed
L000687,2024-03-09,C00283,P105,B008,65652533,240,0.1015,Approved Not Disbursed
L000688,2024-03-29,C02728,P102,B013,20224051,180,0.1019,Disbursed
L000689,2024-03-11,C03607,P102,B012,26164312,120,0.0765,Disbursed
L000690,2024-03-28,C00671,P105,B006,40333136,120,0.1537,Disbursed
L000691,2024-03-07,C03537,P101,B036,827781407,120,0.0964,Disbursed
L000692,2024-03-12,C03508,P104,B030,6692731102,240,0.1496,Disbursed
L000693,2024-03-11,C01139,P101,B049,282561627,120,0.0829,Rejected
L000694,2024-03-16,C01011,P103,B006,117221937,120,0.1112,Disbursed
