LoanID,OriginationDate,CustomerID,ProductID,BranchID,DisbursedAmount_VND,TermMonths,InterestRate,Status
L000559,2024-01-16,C04105,P106,B011,54189883,180,0.0842,Disbursed
L000560,2024-01-21,C03497,P105,B030,7444247385,24,0.0975,Disbursed
L000561,2024-01-05,C00401,P104,B049,596483058,240,0.0776,Rejected
L000562,2024-01-13,C00507,P106,B010,46112766,120,0.1457,Disbursed
L000563,2024-01-14,C04409,P103,B011,55483512590,24,0.1007,Disbursed
L000564,2024-01-31,C01656,P105,B024,45658047,24,0.1179,Disbursed
L000565,2024-01-28,C04364,P106,B004,27893992,36,0.0752,Disbursed
L000566,2024-01-09,C03072,P101,B050,3424329551,180,0.1172,Disbursed
L000567,2024-01-11,C03694,P106,B018,27302540,120,0.0998,Disbursed
L000568,2024-01-06,C04538,P105,B048,40265369,180,0.1011,Disbursed
L000569,2024-01-12,C03476,P102,B039,24475950,24,0.0859,Disbursed
L000570,2024-01-15,C00897,P106,B042,28376913,36,0.1532,Disbursed
L000571,2024-01-28,C03443,P103,B035,47550862,24,0.0907,Disbursed
L000572,2024-01-19,C03780,P103,B044,28483402,120,0.1365,Disbursed
L000573,2024-01-16,C00649,P101,B050,73173256,24,0.089,Disbursed
L000574,2024-01-29,C01572,P102,B003,1027877793,24,0.1271,Disbursed
L000575,2024-01-29,C03895,P106,B050,821263347,24,0.0774,Disbursed
L000576,2024-01-02,C03116,P102,B019,86058813,60,0.1248,Disbursed
L000577,2024-01-22,C02283,P101,B048,616416066,240,0.1039,Disbursed
L000578,2024-01-08,C02451,P103,B027,959221222,24,0.1023,Rejected
L000579,2024-01-06,C02239,P106,B016,42644410,60,0.1116,Approved Not Disbursed
L000580,2024-01-09,C00406,P105,B033,77205253,120,0.1394,Disbursed
L000581,2024-01-09,C04634,P104,B033,91907892,180,0.1186,Disbursed
L000582,2024-01-06,C03951,P105,B044,46064594,12,0.1441,Approved Not Disbursed
L000583,2024-01-06,C03212,P102,B030,60907968,240,0.117,Disbursed
L000584,2024-01-08,C02178,P102,B002,37147592,60,0.0949,Disbursed
L000585,2024-01-29,C01833,P101,B019,24569957,36,0.0917,Disbursed
L000586,2024-01-02,C03963,P101,B009,53090678,60,0.1155,Disbursed
L000587,2024-01-10,C03750,P102,B006,733267394,24,0.0952,Disbursed
L000588,2024-01-13,C01148,P101,B012,57532746,240,0.0928,Disbursed
L000589,2024-01-30,C00990,P101,B005,6145673717,180,0.0962,Disbursed
L000590,2024-01-18,C02907,P106,B041,52119350,180,0.0966,Disbursed
L000591,2024-01-24,C03670,P101,B034,46737422,180,0.1023,Disbursed
L000592,2024-01-22,C00619,P101,B022,37899502,36,0.1258,Disbursed
L000593,2024-01-30,C01763,P105,B038,28517343,24,0.1214,Disbursed
L000594,2024-01-07,C01455,P103,B001,62710957,36,0.1056,Disbursed
L000595,2024-01-04,C02597,P102,B014,101128947,120,0.1056,Disbursed
L000596,2024-01-19,C03470,P105,B005,5997884318,24,0.1114,Disbursed
L000597,2024-01-11,C00624,P105,B014,815211655,60,0.1206,Disbursed
L000598,2024-01-05,C02642,P104,B006,72951538,240,0.1166,Disbursed
L000599,2024-01-22,C04809,P105,B034,42168363,60,0.0823,Disbursed
L000600,2024-01-19,C02441,P103,B006,101404843,36,0.1447,Disbursed
