LoanID,OriginationDate,CustomerID,ProductID,BranchID,DisbursedAmount_VND,TermMonths,InterestRate,Status
L000416,2023-10-03,C04594,P105,B035,26783464,12,0.15,Disbursed
L000417,2023-10-19,C01836,P104,B018,1570152988,60,0.1507,Approved Not Disbursed
L000418,2023-10-31,C04866,P101,B019,1290416757,120,0.1507,Disbursed
L000419,2023-10-13,C00755,P105,B021,7411471354,180,0.1353,Disbursed
L000420,2023-10-31,C01816,P106,B006,27926809593,240,0.0992,Rejected
L000421,2023-10-20,C01026,P102,B049,601046158,240,0.1367,Approved Not Disbursed
L000422,2023-10-04,C03980,P102,B018,50345377,240,0.1499,Disbursed
L000423,2023-10-14,C00158,P104,B048,109455641,240,0.1414,Disbursed
L000424,2023-10-30,C03244,P106,B037,38684453,120,0.1535,Disbursed
L000425,2023-10-01,C03755,P103,B017,665966096,36,0.1154,Rejected
L000426,2023-10-08,C03560,P101,B030,7186718271,24,0.1361,Disbursed
L000427,2023-10-14,C02147,P104,B022,3725575614,12,0.0978,Disbursed
L000428,2023-10-31,C03025,P103,B046,253410130,180,0.1184,Disbursed
L000429,2023-10-02,C04655,P106,B034,51577593,24,0.1068,Disbursed
L000430,2023-10-27,C03296,P103,B013,84047298,60,0.0934,Approved Not Disbursed
L000431,2023-10-14,C04053,P103,B037,21926682238,12,0.1421,Disbursed
L000432,2023-10-14,C01783,P101,B022,44131491,60,0.1112,Disbursed
L000433,2023-10-30,C03688,P102,B005,56395570,24,0.1079,Disbursed
L000434,2023-10-10,C01499,P101,B022,37590677,240,0.1035,Disbursed
L000435,2023-10-23,C01065,P101,B049,6308091825,60,0.0779,Disbursed
L000436,2023-10-01,C00569,P101,B037,1380622515,180,0.1489,Rejected
L000437,2023-10-08,C04708,P101,B045,3714034669,24,0.1376,Rejected
L000438,2023-10-01,C00239,P103,B026,5755219442,180,0.1119,Disbursed
L000439,2023-10-11,C01627,P105,B028,697399300,180,0.1178,Rejected
L000440,2023-10-31,C04744,P106,B050,20110341,60,0.1399,Rejected
L000441,2023-10-27,C03394,P102,B049,889583693,240,0.0867,Approved Not Disbursed
L000442,2023-10-20,C00887,P101,B004,59456727,60,0.0901,Disbursed
L000443,2023-10-03,C02948,P105,B018,28603103,36,0.1278,Disbursed
L000444,2023-10-30,C03973,P103,B045,43475301,24,0.1079,Disbursed
L000445,2023-10-06,C00015,P101,B018,55428010,60,0.0917,Disbursed
L000446,2023-10-22,C00735,P106,B020,492586602,24,0.1489,Disbursed
L000447,2023-10-18,C02708,P101,B039,41962972,24,0.0966,Disbursed
L000448,2023-10-11,C04759,P101,B026,4831086717,120,0.0829,Disbursed
L000449,2023-10-11,C01711,P103,B015,53396653,180,0.1496,Disbursed
L000450,2023-10-23,C01478,P105,B006,10199405668,180,0.078,Disbursed
L000451,2023-10-06,C00940,P104,B019,30221448,120,0.1055,Disbursed
L000452,2023-10-28,C00054,P102,B014,22136167,12,0.1419,Disbursed
L000453,2023-10-25,C04372,P104,B005,48667902,180,0.1166,Disbursed
L000454,2023-10-31,C00260,P102,B045,82444785,240,0.1156,Disbursed
L000455,2023-10-16,C02791,P105,B006,35628012,120,0.0866,Disbursed
L000456,2023-10-14,C02529,P106,B036,46289520,120,0.1301,Disbursed
L000457,2023-10-24,C02740,P101,B021,52624492,240,0.1521,Disbursed
L000458,2023-10-25,C01094,P105,B003,559194567,24,0.1063,Disbursed
L000459,2023-10-21,C01270,P105,B005,375051762,180,0.101,Disbursed
L000460,2023-10-30,C02762,P104,B031,83170807,120,0.0819,Disbursed
L000461,2023-10-01,C00984,P103,B032,340247706,12,0.0992,Approved Not Disbursed
L000462,2023-10-30,C01294,P106,B015,8308673377,36,0.144,Disbursed
L000463,2023-10-10,C03086,P103,B017,1079687399,120,0.1134,Disbursed
L000464,2023-10-23,C02478,P104,B029,60605442,12,0.1138,Disbursed
L000465,2023-10-12,C02028,P101,B049,45513939,180,0.1033,Disbursed
L000466,2023-10-03,C00331,P104,B022,1198383357,36,0.1414,Disbursed
L000467,2023-10-29,C02904,P103,B011,492970889,240,0.1442,Approved Not Disbursed
L000468,2023-10-25,C01978,P106,B032,31530248,60,0.0846,Disbursed
L000469,2023-10-22,C02798,P105,B008,72522410,180,0.1053,Disbursed
