LoanID,OriginationDate,CustomerID,ProductID,BranchID,DisbursedAmount_VND,TermMonths,InterestRate,Status
L000738,2024-05-23,C00006,P105,B050,55294757,240,0.1528,Rejected
L000739,2024-05-30,C01086,P105,B021,53230295,24,0.1192,Rejected
L000740,2024-05-22,C00719,P104,B035,60606745,120,0.0852,Disbursed
L000741,2024-05-15,C00382,P106,B026,54023915,60,0.1097,Disbursed
L000742,2024-05-06,C02823,P104,B025,63335899,12,0.0814,Disbursed
L000743,2024-05-31,C04592,P104,B025,46499028,36,0.1209,Disbursed
L000744,2024-05-02,C03868,P106,B028,662671576,60,0.1295,Disbursed
L000745,2024-05-23,C04361,P105,B026,858425203,120,0.1544,Disbursed
L000746,2024-05-21,C02332,P105,B025,28897897,180,0.1123,Disbursed
L000747,2024-05-18,C00141,P105,B022,280519142,12,0.0814,Disbursed
L000748,2024-05-01,C00551,P103,B019,10190211378,240,0.1275,Disbursed
L000749,2024-05-14,C00582,P104,B020,583621371,24,0.1048,Disbursed
L000750,2024-05-04,C02648,P101,B004,459932443,24,0.1377,Disbursed
L000751,2024-05-10,C00412,P104,B027,892059045,240,0.1428,Disbursed
L000752,2024-05-27,C04456,P101,B016,39023199,12,0.1278,Disbursed
L000753,2024-05-08,C03739,P104,B045,46690236,36,0.1274,Disbursed
L000754,2024-05-24,C00625,P106,B009,42852786,60,0.0861,Disbursed
L000755,2024-05-23,C00806,P101,B029,47634985,180,0.1415,Rejected
L000756,2024-05-17,C00747,P103,B020,1520132246,180,0.1403,Disbursed
L000757,2024-05-30,C00970,P101,B026,22619033,60,0.0751,Disbursed
L000758,2024-05-01,C02784,P104,B049,56068884,60,0.1079,Disbursed
L000759,2024-05-10,C00898,P101,B002,97776478,240,0.1039,Disbursed
L000760,2024-05-04,C02879,P101,B019,1006791081,60,0.1439,Disbursed
L000761,2024-05-11,C02984,P104,B006,66081980,36,0.1113,Disbursed
L000762,2024-05-10,C04306,P103,B025,114618862,12,0.136,Disbursed
L000763,2024-05-07,C04405,P105,B046,45400158,12,0.109,Disbursed
L000764,2024-05-07,C01829,P101,B019,69099179,240,0.1278,Approved Not Disbursed
L000765,2024-05-02,C02232,P102,B025,549691690,24,0.0977,Disbursed
L000766,2024-05-09,C00723,P103,B029,47463859,180,0.1084,Disbursed
L000767,2024-05-12,C01751,P106,B039,38415143,240,0.1215,Disbursed
L000768,2024-05-13,C01536,P105,B031,64119296,60,0.0957,Disbursed
L000769,2024-05-23,C01272,P105,B017,54496735,60,0.1243,Disbursed
L000770,2024-05-28,C03057,P102,B018,57225253,60,0.0877,Disbursed
L000771,2024-05-04,C04626,P106,B044,89007793,24,0.0878,Rejected
L000772,2024-05-14,C00397,P105,B020,55930118,36,0.1461,Approved Not Disbursed
L000773,2024-05-26,C02005,P105,B012,38080876,60,0.0941,Disbursed
L000774,2024-05-11,C00629,P103,B025,48230721,240,0.1296,Approved Not Disbursed
L000775,2024-05-03,C03492,P105,B044,61470719,36,0.1357,Disbursed
L000776,2024-05-13,C01504,P105,B029,390250977,60,0.1028,Disbursed
L000777,2024-05-22,C04161,P106,B045,38110296,24,0.13,Disbursed
L000778,2024-05-29,C00837,P105,B028,374408237,120,0.1521,Disbursed
L000779,2024-05-20,C04746,P103,B048,70448906,24,0.1408,Disbursed
L000780,2024-05-05,C03685,P104,B050,396142431,12,0.1212,Disbursed
L000781,2024-05-27,C03087,P106,B021,34938240,36,0.1066,Rejected
L000782,2024-05-24,C03094,P103,B033,75064534,24,0.1101,Disbursed
L000783,2024-05-19,C03612,P104,B046,28990908,180,0.1271,Approved Not Disbursed
L000784,2024-05-29,C03148,P105,B003,66160988,60,0.0792,Disbursed
L000785,2024-05-23,C01890,P102,B035,144375681,36,0.1151,Disbursed
L000786,2024-05-05,C00979,P102,B041,42296653,180,0.1181,Approved Not Disbursed
L000787,2024-05-15,C03512,P101,B007,65769485,180,0.1413,Disbursed
L000788,2024-05-11,C02392,P102,B023,1957573240,24,0.1471,Disbursed
L000789,2024-05-20,C00081,P101,B004,80576061,60,0.1368,Disbursed
L000790,2024-05-10,C00882,P102,B005,699170672,36,0.1097,Disbursed
