LoanID,OriginationDate,CustomerID,ProductID,BranchID,DisbursedAmount_VND,TermMonths,InterestRate,Status
L000053,2023-02-23,C02912,P103,B010,20783331,60,0.1173,Disbursed
L000054,2023-02-06,C03804,P102,B037,40476017,24,0.1379,Disbursed
L000055,2023-02-23,C03360,P106,B010,23430924,24,0.1276,Disbursed
L000056,2023-02-24,C02585,P105,B006,529528929,60,0.1349,Disbursed
L000057,2023-02-27,C02427,P104,B011,935547174,60,0.1448,Rejected
L000058,2023-02-21,C00017,P106,B033,58592333,120,0.1199,Disbursed
L000059,2023-02-12,C00903,P106,B035,32372439,60,0.0904,Disbursed
L000060,2023-02-14,C01598,P106,B011,51500693,60,0.1324,Disbursed
L000061,2023-02-15,C03426,P106,B017,34006153,120,0.1447,Disbursed
L000062,2023-02-23,C02484,P106,B019,82191173,240,0.1301,Disbursed
L000063,2023-02-14,C00669,P102,B017,33566695,120,0.0925,Approved Not Disbursed
L000064,2023-02-25,C00253,P104,B032,108386168,120,0.1246,Disbursed
L000065,2023-02-08,C02292,P102,B027,39136185,60,0.1153,Approved Not Disbursed
L000066,2023-02-09,C03688,P106,B005,65299570,240,0.1362,Disbursed
L000067,2023-02-05,C02980,P106,B011,88176028,180,0.092,Disbursed
L000068,2023-02-16,C03996,P102,B027,60898334,180,0.1272,Disbursed
L000069,2023-02-20,C01081,P102,B048,4279347596,60,0.0779,Disbursed
L000070,2023-02-28,C04665,P102,B031,114572799,120,0.1144,Disbursed
L000071,2023-02-24,C03967,P104,B026,31822202,180,0.1408,Disbursed
L000072,2023-02-02,C00242,P106,B022,4610706228,120,0.1519,Disbursed
L000073,2023-02-05,C00617,P104,B004,71840154,240,0.1293,Disbursed
L000074,2023-02-07,C04341,P106,B012,41337909,120,0.137,Disbursed
L000075,2023-02-17,C01705,P102,B030,1128844914,12,0.0885,Disbursed
L000076,2023-02-07,C00732,P103,B034,91476460,24,0.1281,Disbursed
L000077,2023-02-16,C04324,P106,B050,3511193472,24,0.132,Disbursed
L000078,2023-02-27,C01227,P102,B022,52373444,36,0.0927,Disbursed
L000079,2023-02-23,C02561,P103,B026,58103766,240,0.1315,Disbursed
L000080,2023-02-03,C03572,P103,B009,9444604301,24,0.0788,Disbursed
L000081,2023-02-16,C04273,P105,B015,42000012,12,0.0891,Disbursed
L000082,2023-02-19,C00196,P106,B050,149635399,180,0.1425,Disbursed
L000083,2023-02-10,C03630,P106,B004,495648035,60,0.0882,Disbursed
L000084,2023-02-05,C01284,P105,B045,1224429989,120,0.0975,Disbursed
L000085,2023-02-18,C04794,P105,B043,74584358,36,0.1317,Approved Not Disbursed
L000086,2023-02-06,C02882,P101,B019,33040006,12,0.098,Disbursed
L000087,2023-02-06,C02925,P104,B050,56482489,60,0.1121,Disbursed
L000088,2023-02-05,C02465,P106,B019,79792646,12,0.1148,Disbursed
L000089,2023-02-06,C03330,P101,B006,44273736,24,0.1469,Disbursed
L000090,2023-02-24,C01173,P102,B022,35622681,120,0.0979,Disbursed
L000091,2023-02-18,C00162,P104,B025,45238484,120,0.0876,Disbursed
L000092,2023-02-28,C00907,P105,B022,77830191,120,0.122,Disbursed
L000093,2023-02-28,C04015,P104,B030,578421972,36,0.1255,Approved Not Disbursed
