LoanID,OriginationDate,CustomerID,ProductID,BranchID,DisbursedAmount_VND,TermMonths,InterestRate,Status
L000331,2023-08-11,C04515,P101,B011,70205241,120,0.1435,Disbursed
L000332,2023-08-11,C02072,P106,B021,29406873,60,0.1148,Rejected
L000333,2023-08-03,C03425,P102,B042,43710510,24,0.1162,Disbursed
L000334,2023-08-04,C00373,P103,B036,56746983,12,0.0886,Disbursed
L000335,2023-08-15,C03254,P105,B048,6587285850,36,0.1226,Disbursed
L000336,2023-08-08,C04015,P104,B030,1728731170,60,0.1153,Disbursed
L000337,2023-08-23,C00271,P101,B006,48291059,36,0.0758,Disbursed
L000338,2023-08-31,C02014,P103,B031,36517160,12,0.1095,Disbursed
L000339,2023-08-09,C00429,P104,B026,50012470,36,0.1425,Disbursed
L000340,2023-08-19,C01899,P102,B031,672595135,240,0.0911,Disbursed
L000341,2023-08-13,C03415,P103,B033,34892530,60,0.1364,Disbursed
L000342,2023-08-15,C03381,P106,B008,49487045,120,0.1512,Disbursed
L000343,2023-08-09,C01203,P101,B030,37294062,36,0.1038,Rejected
L000344,2023-08-20,C04043,P105,B017,15218879,180,0.1219,Disbursed
L000345,2023-08-15,C04065,P105,B019,32249202,12,0.127,Disbursed
L000346,2023-08-08,C04168,P102,B044,48240390,240,0.1444,Disbursed
L000347,2023-08-22,C04497,P101,B002,1485282359,60,0.1415,Disbursed
L000348,2023-08-14,C04757,P104,B033,45228423,240,0.1068,Disbursed
L000349,2023-08-19,C04024,P101,B041,42236129,180,0.1472,Disbursed
L000350,2023-08-10,C00095,P105,B032,81604842,240,0.1242,Approved Not Disbursed
L000351,2023-08-26,C00223,P106,B034,45518079,12,0.1202,Disbursed
L000352,2023-08-22,C03906,P102,B044,58750897,12,0.1084,Disbursed
L000353,2023-08-06,C01588,P101,B020,45573554,24,0.128,Disbursed
L000354,2023-08-26,C03952,P103,B025,556228756,180,0.1017,Disbursed
L000355,2023-08-18,C03412,P103,B021,90395526,36,0.1493,Approved Not Disbursed
L000356,2023-08-09,C00029,P105,B025,33936696,120,0.1271,Disbursed
L000357,2023-08-31,C00803,P103,B010,43857580,180,0.152,Disbursed
L000358,2023-08-03,C04436,P105,B035,7991529100,120,0.1496,Disbursed
L000359,2023-08-11,C04709,P105,B048,89822341,12,0.0903,Disbursed
L000360,2023-08-04,C01504,P106,B029,605896139,120,0.1296,Disbursed
L000361,2023-08-02,C01367,P103,B024,90600089,60,0.1091,Approved Not Disbursed
L000362,2023-08-10,C02652,P104,B002,25152650,120,0.0878,Disbursed
L000363,2023-08-03,C02396,P102,B041,30835872,12,0.1065,Disbursed
L000364,2023-08-09,C00747,P105,B020,396792143,36,0.1041,Disbursed
L000365,2023-08-04,C01543,P104,B048,416723613,240,0.0941,Disbursed
L000366,2023-08-27,C02696,P102,B027,69587572,24,0.1106,Disbursed
L000367,2023-08-03,C00850,P104,B043,52501120,120,0.0984,Disbursed
L000368,2023-08-15,C01619,P105,B008,1219215212,180,0.1305,Disbursed
L000369,2023-08-06,C04166,P101,B009,576799842,60,0.1456,Disbursed
L000370,2023-08-19,C01500,P102,B045,49548640,24,0.1465,Disbursed
