SurveyID,SurveyDate,CustomerID,BranchID,Score,NPSCategory,PrimaryReasonID,PrimaryReason
NPS0017491,2025-07-01,C01663,B035,3,Detractor,R01,Phí dịch vụ cao
NPS0017492,2025-07-09,C03162,B050,9,Promoter,R04,Sản phẩm ít lựa chọn
NPS0017493,2025-07-14,C02363,B031,3,Detractor,R02,Thời gian chờ giao dịch lâu
NPS0017494,2025-07-05,C02534,B030,10,Promoter,,
NPS0017495,2025-07-05,C04737,B007,7,Passive,,
NPS0017496,2025-07-29,C04786,B038,5,Detractor,R01,Phí dịch vụ cao
NPS0017497,2025-07-24,C03327,B050,3,Detractor,R01,Phí dịch vụ cao
NPS0017498,2025-07-22,C00804,B009,5,Detractor,R01,Phí dịch vụ cao
NPS0017499,2025-07-29,C01488,B022,9,Promoter,,
NPS0017500,2025-07-28,C00188,B038,10,Promoter,,
NPS0017501,2025-07-30,C00171,B030,2,Detractor,R03,Ứng dụng số khó dùng
NPS0017502,2025-07-07,C01137,B045,10,Promoter,,
NPS0017503,2025-07-01,C03944,B024,10,Promoter,,
NPS0017504,2025-07-22,C04587,B023,7,Passive,,
NPS0017505,2025-07-17,C00313,B011,8,Passive,,
NPS0017506,2025-07-18,C04693,B003,8,Passive,,
NPS0017507,2025-07-12,C00037,B045,7,Passive,R01,Phí dịch vụ cao
NPS0017508,2025-07-18,C04501,B024,9,Promoter,,
NPS0017509,2025-07-21,C03259,B034,9,Promoter,,
NPS0017510,2025-07-07,C03658,B050,9,Promoter,,
NPS0017511,2025-07-19,C02322,B050,9,Promoter,R01,Phí dịch vụ cao
NPS0017512,2025-07-23,C03921,B045,7,Passive,R07,Lãi suất chưa cạnh tranh
NPS0017513,2025-07-07,C00084,B049,8,Passive,R01,Phí dịch vụ cao
NPS0017514,2025-07-25,C02395,B008,7,Passive,R01,Phí dịch vụ cao
NPS0017515,2025-07-02,C04740,B039,8,Passive,R03,Ứng dụng số khó dùng
NPS0017516,2025-07-16,C02041,B027,6,Detractor,R04,Sản phẩm ít lựa chọn
NPS0017517,2025-07-30,C02785,B026,2,Detractor,R01,Phí dịch vụ cao
NPS0017518,2025-07-28,C00764,B001,7,Passive,R07,Lãi suất chưa cạnh tranh
NPS0017519,2025-07-11,C03190,B050,6,Detractor,R01,Phí dịch vụ cao
NPS0017520,2025-07-31,C02378,B040,10,Promoter,,
NPS0017521,2025-07-08,C03499,B037,9,Promoter,,
NPS0017522,2025-07-24,C01776,B010,7,Passive,R02,Thời gian chờ giao dịch lâu
NPS0017523,2025-07-18,C02086,B038,10,Promoter,,
NPS0017524,2025-07-18,C04688,B049,7,Passive,R02,Thời gian chờ giao dịch lâu
NPS0017525,2025-07-08,C03061,B050,10,Promoter,,
NPS0017526,2025-07-29,C04524,B026,9,Promoter,,
NPS0017527,2025-07-12,C02593,B038,2,Detractor,R03,Ứng dụng số khó dùng
NPS0017528,2025-07-03,C00745,B029,8,Passive,R01,Phí dịch vụ cao
NPS0017529,2025-07-25,C01175,B045,8,Passive,,
NPS0017530,2025-07-19,C04894,B048,7,Passive,R01,Phí dịch vụ cao
NPS0017531,2025-07-27,C02498,B009,3,Detractor,R05,Thái độ nhân viên chưa tốt
NPS0017532,2025-07-05,C00225,B010,9,Promoter,,
NPS0017533,2025-07-25,C04005,B021,8,Passive,R01,Phí dịch vụ cao
NPS0017534,2025-07-09,C00469,B005,9,Promoter,,
NPS0017535,2025-07-24,C04199,B035,7,Passive,R01,Phí dịch vụ cao
NPS0017536,2025-07-16,C04945,B030,1,Detractor,R03,Ứng dụng số khó dùng
NPS0017537,2025-07-27,C01535,B024,2,Detractor,R08,Khác
NPS0017538,2025-07-30,C02701,B003,9,Promoter,,
NPS0017539,2025-07-22,C00424,B013,10,Promoter,,
NPS0017540,2025-07-18,C01673,B003,9,Promoter,,
NPS0017541,2025-07-12,C03627,B008,8,Passive,R02,Thời gian chờ giao dịch lâu
NPS0017542,2025-07-15,C02620,B024,9,Promoter,,
NPS0017543,2025-07-07,C01215,B008,10,Promoter,R01,Phí dịch vụ cao
NPS0017544,2025-07-18,C00053,B031,7,Passive,,
NPS0017545,2025-07-05,C04066,B050,10,Promoter,,
NPS0017546,2025-07-21,C04895,B024,7,Passive,,
NPS0017547,2025-07-06,C04916,B050,10,Promoter,,
NPS0017548,2025-07-04,C03005,B038,5,Detractor,R01,Phí dịch vụ cao
NPS0017549,2025-07-10,C02641,B005,7,Passive,,
NPS0017550,2025-07-24,C02921,B010,2,Detractor,R01,Phí dịch vụ cao
NPS0017551,2025-07-04,C03952,B018,10,Promoter,R01,Phí dịch vụ cao
NPS0017552,2025-07-21,C02850,B033,8,Passive,,
NPS0017553,2025-07-11,C04557,B030,9,Promoter,,
