SurveyID,SurveyDate,CustomerID,BranchID,Score,NPSCategory,PrimaryReasonID,PrimaryReason
NPS0019823,2025-11-16,C02277,B009,10,Promoter,R02,Thời gian chờ giao dịch lâu
NPS0019824,2025-11-19,C03299,B036,4,Detractor,R01,Phí dịch vụ cao
NPS0019825,2025-11-30,C02115,B043,4,Detractor,R03,Ứng dụng số khó dùng
NPS0019826,2025-11-05,C04433,B003,4,Detractor,R01,Phí dịch vụ cao
NPS0019827,2025-11-03,C03214,B050,7,Passive,R01,Phí dịch vụ cao
NPS0019828,2025-11-10,C01187,B020,8,Passive,,
NPS0019829,2025-11-19,C02185,B045,8,Passive,,
NPS0019830,2025-11-15,C03141,B035,10,Promoter,,
NPS0019831,2025-11-04,C00806,B045,9,Promoter,,
NPS0019832,2025-11-05,C00886,B022,10,Promoter,,
NPS0019833,2025-11-02,C00690,B050,8,Passive,,
NPS0019834,2025-11-28,C03151,B034,7,Passive,,
NPS0019835,2025-11-27,C02666,B009,7,Passive,,
NPS0019836,2025-11-03,C03763,B011,9,Promoter,,
NPS0019837,2025-11-26,C00310,B050,9,Promoter,,
NPS0019838,2025-11-17,C04036,B024,8,Passive,R08,Khác
NPS0019839,2025-11-28,C04617,B028,10,Promoter,,
NPS0019840,2025-11-30,C00693,B032,10,Promoter,R02,Thời gian chờ giao dịch lâu
NPS0019841,2025-11-15,C04904,B008,10,Promoter,R01,Phí dịch vụ cao
NPS0019842,2025-11-08,C00188,B038,10,Promoter,R01,Phí dịch vụ cao
NPS0019843,2025-11-27,C00878,B024,10,Promoter,R01,Phí dịch vụ cao
NPS0019844,2025-11-10,C04633,B050,2,Detractor,R01,Phí dịch vụ cao
NPS0019845,2025-11-24,C04721,B049,10,Promoter,,
NPS0019846,2025-11-26,C00602,B047,9,Promoter,,
NPS0019847,2025-11-14,C03048,B043,3,Detractor,R07,Lãi suất chưa cạnh tranh
NPS0019848,2025-11-15,C01067,B005,10,Promoter,,
NPS0019849,2025-11-25,C00838,B024,10,Promoter,R01,Phí dịch vụ cao
NPS0019850,2025-11-05,C03325,B024,10,Promoter,,
NPS0019851,2025-11-18,C03696,B026,2,Detractor,R01,Phí dịch vụ cao
NPS0019852,2025-11-11,C01373,B050,6,Detractor,R01,Phí dịch vụ cao
NPS0019853,2025-11-19,C03133,B013,3,Detractor,R03,Ứng dụng số khó dùng
NPS0019854,2025-11-09,C01104,B036,9,Promoter,,
NPS0019855,2025-11-27,C01657,B050,7,Passive,R05,Thái độ nhân viên chưa tốt
NPS0019856,2025-11-06,C04826,B032,7,Passive,R02,Thời gian chờ giao dịch lâu
NPS0019857,2025-11-13,C04088,B045,9,Promoter,,
NPS0019858,2025-11-23,C01701,B008,9,Promoter,,
NPS0019859,2025-11-01,C04329,B004,10,Promoter,R01,Phí dịch vụ cao
NPS0019860,2025-11-24,C02086,B038,5,Detractor,R06,Mạng lưới chi nhánh thưa
NPS0019861,2025-11-18,C00515,B029,7,Passive,,
NPS0019862,2025-11-12,C00711,B027,10,Promoter,R03,Ứng dụng số khó dùng
NPS0019863,2025-11-22,C02195,B005,8,Passive,,
NPS0019864,2025-11-09,C04405,B033,9,Promoter,R01,Phí dịch vụ cao
NPS0019865,2025-11-15,C02041,B027,7,Passive,R01,Phí dịch vụ cao
NPS0019866,2025-11-10,C03885,B031,7,Passive,R01,Phí dịch vụ cao
NPS0019867,2025-11-23,C01124,B040,1,Detractor,R03,Ứng dụng số khó dùng
NPS0019868,2025-11-19,C02821,B004,10,Promoter,R01,Phí dịch vụ cao
NPS0019869,2025-11-28,C01443,B009,8,Passive,R03,Ứng dụng số khó dùng
NPS0019870,2025-11-07,C00259,B045,9,Promoter,,
NPS0019871,2025-11-15,C00069,B036,6,Detractor,R01,Phí dịch vụ cao
NPS0019872,2025-11-17,C03662,B003,10,Promoter,R01,Phí dịch vụ cao
NPS0019873,2025-11-30,C03937,B050,10,Promoter,,
NPS0019874,2025-11-11,C00059,B029,9,Promoter,,
NPS0019875,2025-11-17,C01245,B050,7,Passive,,
NPS0019876,2025-11-20,C00038,B003,7,Passive,R02,Thời gian chờ giao dịch lâu
NPS0019877,2025-11-12,C02456,B038,7,Passive,R06,Mạng lưới chi nhánh thưa
NPS0019878,2025-11-07,C04975,B023,9,Promoter,,
NPS0019879,2025-11-28,C03954,B024,3,Detractor,R01,Phí dịch vụ cao
NPS0019880,2025-11-11,C04994,B024,7,Passive,R01,Phí dịch vụ cao
NPS0019881,2025-11-22,C00368,B009,9,Promoter,,
NPS0019882,2025-11-20,C02976,B045,10,Promoter,,
NPS0019883,2025-11-10,C04950,B050,9,Promoter,,
NPS0019884,2025-11-10,C02364,B011,10,Promoter,,
NPS0019885,2025-11-10,C04283,B005,7,Passive,,
NPS0019886,2025-11-12,C03808,B031,8,Passive,,
NPS0019887,2025-11-03,C04896,B050,10,Promoter,,
NPS0019888,2025-11-29,C03879,B044,7,Passive,R01,Phí dịch vụ cao
NPS0019889,2025-11-18,C02300,B006,8,Passive,R05,Thái độ nhân viên chưa tốt
NPS0019890,2025-11-03,C02284,B030,7,Passive,,
NPS0019891,2025-11-11,C01112,B033,9,Promoter,R01,Phí dịch vụ cao
NPS0019892,2025-11-28,C00763,B045,9,Promoter,R05,Thái độ nhân viên chưa tốt
NPS0019893,2025-11-06,C04468,B024,8,Passive,R01,Phí dịch vụ cao
NPS0019894,2025-11-11,C01183,B042,10,Promoter,R04,Sản phẩm ít lựa chọn
NPS0019895,2025-11-26,C01334,B029,10,Promoter,,
NPS0019896,2025-11-28,C00685,B024,5,Detractor,R01,Phí dịch vụ cao
NPS0019897,2025-11-23,C01663,B035,10,Promoter,,
NPS0019898,2025-11-23,C00384,B035,9,Promoter,,
NPS0019899,2025-11-11,C00860,B008,7,Passive,,
NPS0019900,2025-11-17,C03203,B035,10,Promoter,,
NPS0019901,2025-11-23,C01330,B034,6,Detractor,R01,Phí dịch vụ cao
NPS0019902,2025-11-12,C01365,B031,10,Promoter,R02,Thời gian chờ giao dịch lâu
NPS0019903,2025-11-09,C04350,B036,2,Detractor,R01,Phí dịch vụ cao
NPS0019904,2025-11-12,C01459,B039,6,Detractor,R01,Phí dịch vụ cao
NPS0019905,2025-11-29,C01915,B050,0,Detractor,R04,Sản phẩm ít lựa chọn
NPS0019906,2025-11-04,C00125,B008,8,Passive,,
NPS0019907,2025-11-25,C04583,B029,9,Promoter,,
NPS0019908,2025-11-21,C02711,B029,1,Detractor,R02,Thời gian chờ giao dịch lâu
NPS0019909,2025-11-02,C04523,B034,9,Promoter,,
NPS0019910,2025-11-24,C01766,B003,10,Promoter,R01,Phí dịch vụ cao
NPS0019911,2025-11-05,C00186,B050,10,Promoter,,
NPS0019912,2025-11-03,C00967,B018,10,Promoter,,
NPS0019913,2025-11-28,C02741,B035,8,Passive,,
NPS0019914,2025-11-30,C01280,B004,10,Promoter,,
NPS0019915,2025-11-19,C00003,B014,0,Detractor,R04,Sản phẩm ít lựa chọn
NPS0019916,2025-11-18,C04273,B003,3,Detractor,R02,Thời gian chờ giao dịch lâu
NPS0019917,2025-11-12,C04724,B031,5,Detractor,R01,Phí dịch vụ cao
NPS0019918,2025-11-11,C03757,B001,9,Promoter,R01,Phí dịch vụ cao
NPS0019919,2025-11-23,C03650,B026,10,Promoter,,
NPS0019920,2025-11-17,C03779,B024,10,Promoter,,
NPS0019921,2025-11-16,C01524,B022,8,Passive,R01,Phí dịch vụ cao
NPS0019922,2025-11-19,C03597,B024,4,Detractor,R01,Phí dịch vụ cao
