SurveyID,SurveyDate,CustomerID,BranchID,Score,NPSCategory,PrimaryReasonID,PrimaryReason
NPS0000584,2023-02-13,C00976,B045,8,Passive,,
NPS0000585,2023-02-01,C04531,B037,8,Passive,R01,Phí dịch vụ cao
NPS0000586,2023-02-01,C01462,B008,9,Promoter,,
NPS0000587,2023-02-16,C04737,B007,5,Detractor,R03,Ứng dụng số khó dùng
NPS0000588,2023-02-10,C02532,B043,9,Promoter,,
NPS0000589,2023-02-02,C02177,B011,10,Promoter,R01,Phí dịch vụ cao
NPS0000590,2023-02-06,C00335,B001,7,Passive,,
NPS0000591,2023-02-06,C03007,B030,8,Passive,R01,Phí dịch vụ cao
NPS0000592,2023-02-23,C01164,B005,10,Promoter,,
NPS0000593,2023-02-06,C04985,B008,9,Promoter,,
NPS0000594,2023-02-06,C00274,B050,9,Promoter,,
NPS0000595,2023-02-17,C03046,B050,9,Promoter,,
NPS0000596,2023-02-24,C04950,B050,10,Promoter,R02,Thời gian chờ giao dịch lâu
NPS0000597,2023-02-21,C00259,B045,9,Promoter,,
NPS0000598,2023-02-08,C02983,B008,5,Detractor,R01,Phí dịch vụ cao
NPS0000599,2023-02-26,C04178,B043,2,Detractor,R01,Phí dịch vụ cao
NPS0000600,2023-02-18,C01599,B030,9,Promoter,,
NPS0000601,2023-02-17,C02857,B007,10,Promoter,R01,Phí dịch vụ cao
NPS0000602,2023-02-03,C04387,B025,7,Passive,R04,Sản phẩm ít lựa chọn
NPS0000603,2023-02-08,C04770,B037,10,Promoter,,
NPS0000604,2023-02-13,C02496,B003,6,Detractor,R02,Thời gian chờ giao dịch lâu
NPS0000605,2023-02-28,C02335,B022,10,Promoter,,
NPS0000606,2023-02-23,C02872,B039,8,Passive,R07,Lãi suất chưa cạnh tranh
NPS0000607,2023-02-19,C01589,B017,10,Promoter,,
NPS0000608,2023-02-08,C01148,B043,9,Promoter,R01,Phí dịch vụ cao
NPS0000609,2023-02-22,C04592,B048,5,Detractor,R01,Phí dịch vụ cao
NPS0000610,2023-02-18,C03917,B040,9,Promoter,,
NPS0000611,2023-02-19,C02102,B023,8,Passive,,
NPS0000612,2023-02-02,C00538,B004,10,Promoter,,
NPS0000613,2023-02-08,C02951,B048,7,Passive,R01,Phí dịch vụ cao
