SurveyID,SurveyDate,CustomerID,BranchID,Score,NPSCategory,PrimaryReasonID,PrimaryReason
NPS0011078,2024-08-24,C02988,B045,0,Detractor,R03,Ứng dụng số khó dùng
NPS0011079,2024-08-16,C04949,B031,8,Passive,R01,Phí dịch vụ cao
NPS0011080,2024-08-17,C02318,B005,9,Promoter,,
NPS0011081,2024-08-27,C02447,B001,9,Promoter,,
NPS0011082,2024-08-25,C02930,B023,6,Detractor,R04,Sản phẩm ít lựa chọn
NPS0011083,2024-08-06,C02879,B003,7,Passive,R01,Phí dịch vụ cao
NPS0011084,2024-08-31,C01169,B030,1,Detractor,R05,Thái độ nhân viên chưa tốt
NPS0011085,2024-08-15,C01866,B040,10,Promoter,,
NPS0011086,2024-08-17,C02094,B035,8,Passive,R01,Phí dịch vụ cao
NPS0011087,2024-08-03,C02120,B027,9,Promoter,,
NPS0011088,2024-08-28,C04189,B043,7,Passive,R01,Phí dịch vụ cao
NPS0011089,2024-08-15,C04516,B050,3,Detractor,R02,Thời gian chờ giao dịch lâu
NPS0011090,2024-08-22,C01257,B029,6,Detractor,R01,Phí dịch vụ cao
NPS0011091,2024-08-28,C03620,B037,9,Promoter,R01,Phí dịch vụ cao
NPS0011092,2024-08-23,C03059,B004,7,Passive,,
NPS0011093,2024-08-13,C04322,B002,5,Detractor,R01,Phí dịch vụ cao
NPS0011094,2024-08-06,C00899,B017,6,Detractor,R01,Phí dịch vụ cao
NPS0011095,2024-08-26,C03725,B050,8,Passive,,
NPS0011096,2024-08-11,C00552,B008,8,Passive,,
NPS0011097,2024-08-05,C03714,B003,9,Promoter,R01,Phí dịch vụ cao
NPS0011098,2024-08-09,C03941,B021,9,Promoter,R01,Phí dịch vụ cao
NPS0011099,2024-08-02,C04138,B008,9,Promoter,,
NPS0011100,2024-08-23,C00253,B037,0,Detractor,R01,Phí dịch vụ cao
NPS0011101,2024-08-21,C04756,B022,9,Promoter,,
NPS0011102,2024-08-03,C02631,B001,10,Promoter,R03,Ứng dụng số khó dùng
NPS0011103,2024-08-29,C03727,B009,9,Promoter,,
NPS0011104,2024-08-02,C04402,B041,9,Promoter,,
NPS0011105,2024-08-22,C02963,B022,1,Detractor,R04,Sản phẩm ít lựa chọn
NPS0011106,2024-08-05,C03812,B036,10,Promoter,,
NPS0011107,2024-08-24,C04938,B039,9,Promoter,,
NPS0011108,2024-08-05,C04034,B044,5,Detractor,R01,Phí dịch vụ cao
NPS0011109,2024-08-22,C03627,B008,8,Passive,R05,Thái độ nhân viên chưa tốt
NPS0011110,2024-08-12,C04875,B030,9,Promoter,,
NPS0011111,2024-08-19,C02005,B022,9,Promoter,,
NPS0011112,2024-08-19,C04895,B024,5,Detractor,R01,Phí dịch vụ cao
NPS0011113,2024-08-10,C02134,B038,1,Detractor,R08,Khác
NPS0011114,2024-08-06,C04244,B037,10,Promoter,,
NPS0011115,2024-08-13,C00968,B031,4,Detractor,R03,Ứng dụng số khó dùng
NPS0011116,2024-08-11,C02232,B001,10,Promoter,R01,Phí dịch vụ cao
NPS0011117,2024-08-17,C03560,B028,7,Passive,,
NPS0011118,2024-08-18,C03546,B050,3,Detractor,R03,Ứng dụng số khó dùng
NPS0011119,2024-08-20,C01155,B050,1,Detractor,R01,Phí dịch vụ cao
NPS0011120,2024-08-02,C01741,B003,7,Passive,R01,Phí dịch vụ cao
NPS0011121,2024-08-14,C04512,B031,10,Promoter,,
NPS0011122,2024-08-04,C00674,B050,7,Passive,R01,Phí dịch vụ cao
NPS0011123,2024-08-08,C00561,B008,10,Promoter,,
NPS0011124,2024-08-31,C00727,B014,4,Detractor,R02,Thời gian chờ giao dịch lâu
NPS0011125,2024-08-20,C04181,B018,10,Promoter,,
NPS0011126,2024-08-20,C02246,B023,10,Promoter,,
NPS0011127,2024-08-10,C00285,B028,10,Promoter,,
NPS0011128,2024-08-18,C00610,B031,9,Promoter,,
NPS0011129,2024-08-31,C01507,B005,9,Promoter,,
NPS0011130,2024-08-20,C00197,B003,10,Promoter,R01,Phí dịch vụ cao
NPS0011131,2024-08-08,C03376,B021,0,Detractor,R01,Phí dịch vụ cao
NPS0011132,2024-08-19,C04982,B024,9,Promoter,,
NPS0011133,2024-08-29,C01087,B030,8,Passive,R01,Phí dịch vụ cao
NPS0011134,2024-08-31,C03334,B003,7,Passive,R01,Phí dịch vụ cao
NPS0011135,2024-08-07,C00460,B043,7,Passive,R02,Thời gian chờ giao dịch lâu
NPS0011136,2024-08-25,C03189,B043,10,Promoter,R03,Ứng dụng số khó dùng
NPS0011137,2024-08-10,C03920,B031,9,Promoter,,
NPS0011138,2024-08-05,C00174,B022,9,Promoter,,
NPS0011139,2024-08-03,C02453,B050,7,Passive,R01,Phí dịch vụ cao
NPS0011140,2024-08-08,C04648,B050,8,Passive,R01,Phí dịch vụ cao
NPS0011141,2024-08-16,C03791,B037,10,Promoter,,
NPS0011142,2024-08-13,C03389,B048,10,Promoter,,
NPS0011143,2024-08-06,C03883,B040,8,Passive,R01,Phí dịch vụ cao
NPS0011144,2024-08-14,C03146,B037,10,Promoter,R01,Phí dịch vụ cao
NPS0011145,2024-08-02,C04792,B024,10,Promoter,,
NPS0011146,2024-08-18,C04983,B022,1,Detractor,R01,Phí dịch vụ cao
NPS0011147,2024-08-17,C02738,B040,2,Detractor,R03,Ứng dụng số khó dùng
NPS0011148,2024-08-25,C03569,B050,2,Detractor,R07,Lãi suất chưa cạnh tranh
NPS0011149,2024-08-11,C04261,B041,9,Promoter,,
NPS0011150,2024-08-05,C04492,B012,9,Promoter,,
