SurveyID,SurveyDate,CustomerID,BranchID,Score,NPSCategory,PrimaryReasonID,PrimaryReason
NPS0005831,2023-11-08,C01001,B036,6,Detractor,R05,Thái độ nhân viên chưa tốt
NPS0005832,2023-11-16,C00739,B042,7,Passive,,
NPS0005833,2023-11-08,C02263,B024,8,Passive,R03,Ứng dụng số khó dùng
NPS0005834,2023-11-10,C03499,B037,7,Passive,R01,Phí dịch vụ cao
NPS0005835,2023-11-20,C00687,B003,7,Passive,,
NPS0005836,2023-11-15,C02672,B043,7,Passive,R01,Phí dịch vụ cao
NPS0005837,2023-11-29,C03981,B040,10,Promoter,,
NPS0005838,2023-11-12,C01648,B049,10,Promoter,,
NPS0005839,2023-11-05,C00384,B035,10,Promoter,R07,Lãi suất chưa cạnh tranh
NPS0005840,2023-11-05,C03940,B048,10,Promoter,,
NPS0005841,2023-11-24,C00346,B040,8,Passive,R07,Lãi suất chưa cạnh tranh
NPS0005842,2023-11-24,C02092,B029,0,Detractor,R03,Ứng dụng số khó dùng
NPS0005843,2023-11-12,C03739,B034,9,Promoter,,
NPS0005844,2023-11-08,C04465,B031,2,Detractor,R05,Thái độ nhân viên chưa tốt
NPS0005845,2023-11-07,C01252,B038,9,Promoter,,
NPS0005846,2023-11-22,C04577,B050,7,Passive,R02,Thời gian chờ giao dịch lâu
NPS0005847,2023-11-12,C03908,B045,10,Promoter,R07,Lãi suất chưa cạnh tranh
NPS0005848,2023-11-05,C01693,B047,8,Passive,,
NPS0005849,2023-11-26,C01721,B035,9,Promoter,R01,Phí dịch vụ cao
NPS0005850,2023-11-18,C01382,B005,10,Promoter,,
NPS0005851,2023-11-30,C04064,B050,0,Detractor,R03,Ứng dụng số khó dùng
NPS0005852,2023-11-04,C00767,B008,9,Promoter,,
NPS0005853,2023-11-23,C01215,B008,9,Promoter,,
NPS0005854,2023-11-26,C00696,B038,7,Passive,,
NPS0005855,2023-11-02,C00689,B012,1,Detractor,R06,Mạng lưới chi nhánh thưa
NPS0005856,2023-11-23,C02983,B008,9,Promoter,,
NPS0005857,2023-11-26,C00311,B003,10,Promoter,,
NPS0005858,2023-11-30,C00139,B031,1,Detractor,R01,Phí dịch vụ cao
NPS0005859,2023-11-08,C00519,B004,8,Passive,R01,Phí dịch vụ cao
NPS0005860,2023-11-07,C02253,B008,10,Promoter,,
NPS0005861,2023-11-14,C00349,B026,8,Passive,,
NPS0005862,2023-11-07,C04658,B026,7,Passive,,
NPS0005863,2023-11-28,C04721,B049,5,Detractor,R01,Phí dịch vụ cao
NPS0005864,2023-11-26,C01662,B003,8,Passive,,
NPS0005865,2023-11-19,C02641,B005,9,Promoter,,
NPS0005866,2023-11-18,C00463,B043,7,Passive,,
NPS0005867,2023-11-08,C01454,B011,9,Promoter,,
NPS0005868,2023-11-02,C01146,B031,8,Passive,,
NPS0005869,2023-11-12,C04874,B017,9,Promoter,,
NPS0005870,2023-11-20,C04807,B036,9,Promoter,,
NPS0005871,2023-11-16,C02066,B015,8,Passive,,
NPS0005872,2023-11-14,C00216,B023,10,Promoter,,
NPS0005873,2023-11-27,C03472,B007,9,Promoter,R01,Phí dịch vụ cao
NPS0005874,2023-11-12,C00941,B037,10,Promoter,,
NPS0005875,2023-11-19,C03989,B048,8,Passive,,
NPS0005876,2023-11-05,C04737,B007,10,Promoter,R03,Ứng dụng số khó dùng
NPS0005877,2023-11-01,C01063,B028,7,Passive,R01,Phí dịch vụ cao
NPS0005878,2023-11-19,C03377,B045,10,Promoter,,
NPS0005879,2023-11-07,C01124,B040,10,Promoter,,
NPS0005880,2023-11-25,C00393,B050,9,Promoter,,
NPS0005881,2023-11-08,C00250,B042,10,Promoter,,
NPS0005882,2023-11-22,C00724,B043,8,Passive,,
NPS0005883,2023-11-19,C02202,B013,7,Passive,R01,Phí dịch vụ cao
NPS0005884,2023-11-25,C01111,B050,10,Promoter,,
NPS0005885,2023-11-16,C04282,B035,8,Passive,,
NPS0005886,2023-11-18,C03654,B049,7,Passive,,
NPS0005887,2023-11-15,C00659,B029,8,Passive,,
NPS0005888,2023-11-08,C02571,B003,8,Passive,R03,Ứng dụng số khó dùng
NPS0005889,2023-11-29,C02481,B050,10,Promoter,,
NPS0005890,2023-11-26,C01386,B014,9,Promoter,,
NPS0005891,2023-11-26,C02105,B049,8,Passive,R01,Phí dịch vụ cao
NPS0005892,2023-11-27,C00254,B025,10,Promoter,,
NPS0005893,2023-11-13,C03261,B044,2,Detractor,R06,Mạng lưới chi nhánh thưa
NPS0005894,2023-11-14,C02913,B036,8,Passive,R04,Sản phẩm ít lựa chọn
NPS0005895,2023-11-14,C02187,B015,2,Detractor,R02,Thời gian chờ giao dịch lâu
NPS0005896,2023-11-22,C02682,B039,10,Promoter,,
NPS0005897,2023-11-19,C00522,B026,1,Detractor,R01,Phí dịch vụ cao
NPS0005898,2023-11-14,C00439,B045,1,Detractor,R08,Khác
NPS0005899,2023-11-08,C04883,B010,9,Promoter,,
NPS0005900,2023-11-14,C02155,B003,0,Detractor,R02,Thời gian chờ giao dịch lâu
NPS0005901,2023-11-26,C02825,B047,10,Promoter,,
NPS0005902,2023-11-19,C00994,B025,7,Passive,,
NPS0005903,2023-11-25,C01095,B022,0,Detractor,R01,Phí dịch vụ cao
NPS0005904,2023-11-30,C00826,B049,10,Promoter,,
NPS0005905,2023-11-08,C00006,B040,4,Detractor,R01,Phí dịch vụ cao
NPS0005906,2023-11-01,C00457,B008,10,Promoter,,
NPS0005907,2023-11-13,C03329,B050,9,Promoter,,
