SurveyID,SurveyDate,CustomerID,BranchID,Score,NPSCategory,PrimaryReasonID,PrimaryReason
NPS0012827,2024-11-06,C04934,B009,10,Promoter,,
NPS0012828,2024-11-14,C01481,B024,10,Promoter,,
NPS0012829,2024-11-15,C01766,B003,8,Passive,R02,Thời gian chờ giao dịch lâu
NPS0012830,2024-11-13,C04995,B040,10,Promoter,R01,Phí dịch vụ cao
NPS0012831,2024-11-27,C03197,B042,10,Promoter,,
NPS0012832,2024-11-17,C04606,B021,10,Promoter,,
NPS0012833,2024-11-27,C03894,B029,10,Promoter,R01,Phí dịch vụ cao
NPS0012834,2024-11-24,C04607,B006,8,Passive,R01,Phí dịch vụ cao
NPS0012835,2024-11-10,C02427,B005,8,Passive,R01,Phí dịch vụ cao
NPS0012836,2024-11-27,C03203,B035,6,Detractor,R04,Sản phẩm ít lựa chọn
NPS0012837,2024-11-10,C02185,B045,8,Passive,,
NPS0012838,2024-11-29,C04658,B026,8,Passive,,
NPS0012839,2024-11-20,C01695,B040,10,Promoter,,
NPS0012840,2024-11-01,C01854,B024,10,Promoter,,
NPS0012841,2024-11-27,C04546,B050,2,Detractor,R01,Phí dịch vụ cao
NPS0012842,2024-11-09,C01806,B004,7,Passive,R01,Phí dịch vụ cao
NPS0012843,2024-11-27,C04278,B040,3,Detractor,R02,Thời gian chờ giao dịch lâu
NPS0012844,2024-11-18,C04515,B050,7,Passive,R01,Phí dịch vụ cao
NPS0012845,2024-11-21,C04558,B023,10,Promoter,,
NPS0012846,2024-11-02,C03431,B029,9,Promoter,,
NPS0012847,2024-11-01,C03058,B031,7,Passive,R08,Khác
NPS0012848,2024-11-05,C03932,B036,9,Promoter,,
NPS0012849,2024-11-12,C00544,B008,9,Promoter,,
NPS0012850,2024-11-29,C03334,B003,10,Promoter,R01,Phí dịch vụ cao
NPS0012851,2024-11-23,C03323,B010,8,Passive,R01,Phí dịch vụ cao
NPS0012852,2024-11-22,C01581,B021,8,Passive,R01,Phí dịch vụ cao
NPS0012853,2024-11-30,C01747,B017,7,Passive,R02,Thời gian chờ giao dịch lâu
NPS0012854,2024-11-03,C01505,B013,10,Promoter,,
NPS0012855,2024-11-28,C04236,B011,9,Promoter,,
NPS0012856,2024-11-08,C03544,B003,10,Promoter,,
NPS0012857,2024-11-14,C04519,B045,9,Promoter,,
NPS0012858,2024-11-21,C02103,B015,9,Promoter,R07,Lãi suất chưa cạnh tranh
NPS0012859,2024-11-11,C01810,B024,8,Passive,,
NPS0012860,2024-11-20,C04176,B011,9,Promoter,,
NPS0012861,2024-11-05,C00288,B048,7,Passive,,
NPS0012862,2024-11-17,C03172,B009,8,Passive,,
NPS0012863,2024-11-11,C02183,B042,9,Promoter,,
NPS0012864,2024-11-15,C03434,B042,8,Passive,R01,Phí dịch vụ cao
NPS0012865,2024-11-08,C01194,B050,7,Passive,R01,Phí dịch vụ cao
NPS0012866,2024-11-01,C04062,B037,7,Passive,,
NPS0012867,2024-11-04,C01407,B023,7,Passive,R01,Phí dịch vụ cao
NPS0012868,2024-11-09,C03744,B023,10,Promoter,,
NPS0012869,2024-11-25,C01559,B010,6,Detractor,R05,Thái độ nhân viên chưa tốt
NPS0012870,2024-11-24,C03989,B048,5,Detractor,R03,Ứng dụng số khó dùng
NPS0012871,2024-11-19,C04085,B050,0,Detractor,R01,Phí dịch vụ cao
NPS0012872,2024-11-24,C03363,B005,5,Detractor,R06,Mạng lưới chi nhánh thưa
NPS0012873,2024-11-23,C02506,B009,4,Detractor,R01,Phí dịch vụ cao
NPS0012874,2024-11-26,C04481,B024,6,Detractor,R01,Phí dịch vụ cao
NPS0012875,2024-11-12,C01441,B043,10,Promoter,,
NPS0012876,2024-11-29,C01496,B008,4,Detractor,R07,Lãi suất chưa cạnh tranh
NPS0012877,2024-11-30,C00308,B008,9,Promoter,,
NPS0012878,2024-11-17,C03477,B040,8,Passive,,
NPS0012879,2024-11-02,C04873,B012,9,Promoter,,
NPS0012880,2024-11-08,C01749,B013,9,Promoter,,
NPS0012881,2024-11-09,C01404,B050,10,Promoter,,
NPS0012882,2024-11-13,C00421,B026,7,Passive,R01,Phí dịch vụ cao
NPS0012883,2024-11-22,C04494,B040,9,Promoter,,
NPS0012884,2024-11-10,C03777,B023,5,Detractor,R01,Phí dịch vụ cao
NPS0012885,2024-11-07,C00395,B045,0,Detractor,R01,Phí dịch vụ cao
NPS0012886,2024-11-04,C00267,B050,8,Passive,R01,Phí dịch vụ cao
NPS0012887,2024-11-05,C02849,B008,2,Detractor,R02,Thời gian chờ giao dịch lâu
NPS0012888,2024-11-17,C04418,B024,8,Passive,,
NPS0012889,2024-11-18,C02488,B043,9,Promoter,,
NPS0012890,2024-11-24,C02361,B003,9,Promoter,R01,Phí dịch vụ cao
NPS0012891,2024-11-07,C04244,B037,9,Promoter,,
NPS0012892,2024-11-14,C02893,B022,5,Detractor,R01,Phí dịch vụ cao
NPS0012893,2024-11-27,C02831,B030,5,Detractor,R06,Mạng lưới chi nhánh thưa
NPS0012894,2024-11-05,C04165,B026,10,Promoter,,
NPS0012895,2024-11-28,C02230,B007,9,Promoter,R01,Phí dịch vụ cao
NPS0012896,2024-11-14,C02419,B006,10,Promoter,,
NPS0012897,2024-11-24,C01451,B049,9,Promoter,,
NPS0012898,2024-11-11,C03293,B050,9,Promoter,,
NPS0012899,2024-11-03,C03656,B046,8,Passive,R01,Phí dịch vụ cao
NPS0012900,2024-11-15,C04549,B042,9,Promoter,R03,Ứng dụng số khó dùng
NPS0012901,2024-11-15,C02233,B003,7,Passive,R04,Sản phẩm ít lựa chọn
NPS0012902,2024-11-15,C02609,B050,10,Promoter,R05,Thái độ nhân viên chưa tốt
NPS0012903,2024-11-20,C01964,B017,10,Promoter,,
NPS0012904,2024-11-23,C04001,B036,7,Passive,,
NPS0012905,2024-11-28,C01458,B041,9,Promoter,,
NPS0012906,2024-11-13,C01600,B014,9,Promoter,,
NPS0012907,2024-11-15,C03934,B040,10,Promoter,R01,Phí dịch vụ cao
NPS0012908,2024-11-27,C03472,B007,9,Promoter,,
NPS0012909,2024-11-20,C03309,B010,7,Passive,R01,Phí dịch vụ cao
NPS0012910,2024-11-10,C00206,B012,10,Promoter,,
NPS0012911,2024-11-22,C03857,B024,7,Passive,,
NPS0012912,2024-11-05,C04398,B039,8,Passive,R01,Phí dịch vụ cao
NPS0012913,2024-11-18,C03201,B042,9,Promoter,,
NPS0012914,2024-11-06,C00372,B036,10,Promoter,,
NPS0012915,2024-11-21,C02332,B026,10,Promoter,,
NPS0012916,2024-11-19,C02440,B003,10,Promoter,R06,Mạng lưới chi nhánh thưa
NPS0012917,2024-11-23,C02322,B050,7,Passive,R01,Phí dịch vụ cao
NPS0012918,2024-11-19,C04243,B029,10,Promoter,,
NPS0012919,2024-11-11,C00735,B016,10,Promoter,,
NPS0012920,2024-11-02,C04471,B050,9,Promoter,,
NPS0012921,2024-11-19,C00939,B001,2,Detractor,R01,Phí dịch vụ cao
NPS0012922,2024-11-04,C00889,B019,0,Detractor,R02,Thời gian chờ giao dịch lâu
NPS0012923,2024-11-01,C04787,B036,8,Passive,R01,Phí dịch vụ cao
NPS0012924,2024-11-13,C04901,B004,3,Detractor,R03,Ứng dụng số khó dùng
NPS0012925,2024-11-14,C02434,B035,7,Passive,R01,Phí dịch vụ cao
NPS0012926,2024-11-09,C01467,B010,9,Promoter,R01,Phí dịch vụ cao
NPS0012927,2024-11-30,C04725,B042,1,Detractor,R03,Ứng dụng số khó dùng
NPS0012928,2024-11-04,C01188,B039,10,Promoter,,
NPS0012929,2024-11-27,C02597,B029,1,Detractor,R05,Thái độ nhân viên chưa tốt
NPS0012930,2024-11-02,C03750,B050,10,Promoter,,
NPS0012931,2024-11-28,C04477,B040,10,Promoter,,
NPS0012932,2024-11-08,C04319,B003,1,Detractor,R01,Phí dịch vụ cao
NPS0012933,2024-11-07,C04883,B010,10,Promoter,,
NPS0012934,2024-11-22,C01202,B005,10,Promoter,,
NPS0012935,2024-11-18,C00904,B029,9,Promoter,,
NPS0012936,2024-11-05,C01237,B042,3,Detractor,R01,Phí dịch vụ cao
NPS0012937,2024-11-13,C02965,B009,9,Promoter,,
NPS0012938,2024-11-20,C01409,B024,10,Promoter,,
NPS0012939,2024-11-14,C00664,B024,9,Promoter,R02,Thời gian chờ giao dịch lâu
NPS0012940,2024-11-07,C02620,B024,0,Detractor,R01,Phí dịch vụ cao
NPS0012941,2024-11-05,C04795,B031,10,Promoter,,
NPS0012942,2024-11-18,C04279,B035,7,Passive,R01,Phí dịch vụ cao
NPS0012943,2024-11-22,C00242,B010,10,Promoter,R01,Phí dịch vụ cao
NPS0012944,2024-11-13,C03241,B035,7,Passive,,
NPS0012945,2024-11-29,C04617,B028,6,Detractor,R01,Phí dịch vụ cao
NPS0012946,2024-11-02,C03004,B050,9,Promoter,R01,Phí dịch vụ cao
NPS0012947,2024-11-28,C01469,B045,8,Passive,R01,Phí dịch vụ cao
NPS0012948,2024-11-06,C02811,B045,10,Promoter,,
NPS0012949,2024-11-15,C04322,B002,9,Promoter,R05,Thái độ nhân viên chưa tốt
NPS0012950,2024-11-02,C04249,B031,7,Passive,R01,Phí dịch vụ cao
NPS0012951,2024-11-08,C00954,B008,10,Promoter,R02,Thời gian chờ giao dịch lâu
NPS0012952,2024-11-30,C02928,B033,7,Passive,,
NPS0012953,2024-11-25,C00203,B044,9,Promoter,,
NPS0012954,2024-11-11,C03104,B027,10,Promoter,,
NPS0012955,2024-11-11,C00810,B011,9,Promoter,,
NPS0012956,2024-11-23,C01983,B023,8,Passive,R05,Thái độ nhân viên chưa tốt
NPS0012957,2024-11-27,C01536,B040,9,Promoter,,
NPS0012958,2024-11-19,C01124,B040,6,Detractor,R01,Phí dịch vụ cao
NPS0012959,2024-11-21,C03432,B045,2,Detractor,R04,Sản phẩm ít lựa chọn
NPS0012960,2024-11-25,C02051,B037,9,Promoter,,
NPS0012961,2024-11-25,C02151,B029,6,Detractor,R08,Khác
NPS0012962,2024-11-11,C04770,B037,9,Promoter,,
NPS0012963,2024-11-06,C00420,B045,10,Promoter,,
NPS0012964,2024-11-18,C00592,B010,8,Passive,,
NPS0012965,2024-11-28,C03436,B004,10,Promoter,,
NPS0012966,2024-11-28,C00055,B021,8,Passive,,
NPS0012967,2024-11-07,C02066,B015,8,Passive,,
NPS0012968,2024-11-13,C00108,B024,8,Passive,R02,Thời gian chờ giao dịch lâu
NPS0012969,2024-11-18,C04333,B050,9,Promoter,,
NPS0012970,2024-11-17,C04861,B042,10,Promoter,,
NPS0012971,2024-11-07,C04455,B025,3,Detractor,R01,Phí dịch vụ cao
NPS0012972,2024-11-04,C01621,B036,1,Detractor,R08,Khác
NPS0012973,2024-11-09,C03606,B023,7,Passive,,
NPS0012974,2024-11-08,C03321,B011,7,Passive,R01,Phí dịch vụ cao
NPS0012975,2024-11-24,C04869,B014,8,Passive,,
NPS0012976,2024-11-09,C03474,B043,8,Passive,,
NPS0012977,2024-11-22,C02561,B037,10,Promoter,R01,Phí dịch vụ cao
NPS0012978,2024-11-04,C03282,B042,4,Detractor,R07,Lãi suất chưa cạnh tranh
NPS0012979,2024-11-10,C04257,B029,7,Passive,,
NPS0012980,2024-11-20,C04042,B040,10,Promoter,,
NPS0012981,2024-11-01,C03121,B050,7,Passive,R04,Sản phẩm ít lựa chọn
NPS0012982,2024-11-11,C03049,B035,9,Promoter,,
NPS0012983,2024-11-11,C01450,B005,7,Passive,R01,Phí dịch vụ cao
NPS0012984,2024-11-05,C01288,B024,7,Passive,R01,Phí dịch vụ cao
NPS0012985,2024-11-06,C04468,B024,4,Detractor,R01,Phí dịch vụ cao
NPS0012986,2024-11-26,C04721,B049,9,Promoter,,
NPS0012987,2024-11-28,C04633,B050,8,Passive,,
NPS0012988,2024-11-16,C02626,B020,10,Promoter,,
NPS0012989,2024-11-03,C04397,B040,8,Passive,R07,Lãi suất chưa cạnh tranh
NPS0012990,2024-11-18,C01268,B050,10,Promoter,,
NPS0012991,2024-11-10,C00201,B033,8,Passive,R08,Khác
NPS0012992,2024-11-13,C01216,B008,9,Promoter,R04,Sản phẩm ít lựa chọn
