SnapshotDate,CustomerID,ProductID,ProductName,ProductCategory,ProductSubCategory,BranchID,Balance_VND,NPLGroup
2023-06-30,C00001,P003,Tiết kiệm có kỳ hạn 3 tháng,Deposit,TD,B026,289966488,N/A
2023-06-30,C00001,P201,Thẻ ghi nợ nội địa,Card,Debit,B026,0,N/A
2023-06-30,C00002,P003,Tiết kiệm có kỳ hạn 3 tháng,Deposit,TD,B012,21908917890,N/A
2023-06-30,C00002,P007,Chứng chỉ tiền gửi,Deposit,CD,B012,12989332849,N/A
2023-06-30,C00002,P001,Tài khoản thanh toán,Deposit,CA,B012,26785528313,N/A
2023-06-30,C00002,P002,Tiết kiệm không kỳ hạn,Deposit,SA,B012,73336225227,N/A
2023-06-30,C00002,P103,Vay tiêu dùng tín chấp,Loan,Consumer,B012,21915808532,Nhóm 1
2023-06-30,C00002,P206,Thẻ tín dụng Hạng Sang,Card,Credit,B012,748137569,Nhóm 1
2023-06-30,C00002,P204,Thẻ tín dụng Vàng,Card,Credit,B012,0,N/A
2023-06-30,C00002,P205,Thẻ tín dụng Bạch Kim,Card,Credit,B012,0,N/A
2023-06-30,C00002,P302,Quản lý gia sản,Wealth,WM,B012,21977295128,N/A
2023-06-30,C00003,P001,Tài khoản thanh toán,Deposit,CA,B014,687960109,N/A
2023-06-30,C00003,P105,Vay thấu chi tài khoản,Loan,Overdraft,B014,1119179391,Nhóm 1
2023-06-30,C00003,P202,Thẻ ghi nợ quốc tế Visa,Card,Debit,B014,0,N/A
2023-06-30,C00004,P004,Tiết kiệm có kỳ hạn 6 tháng,Deposit,TD,B024,164358829,N/A
2023-06-30,C00004,P102,Vay mua ô tô,Loan,AutoLoan,B024,1794890836,Nhóm 1
2023-06-30,C00004,P201,Thẻ ghi nợ nội địa,Card,Debit,B024,0,N/A
2023-06-30,C00005,P003,Tiết kiệm có kỳ hạn 3 tháng,Deposit,TD,B040,102639938,N/A
2023-06-30,C00005,P104,Vay kinh doanh hộ cá thể,Loan,SME,B040,590861454,Nhóm 1
2023-06-30,C00005,P201,Thẻ ghi nợ nội địa,Card,Debit,B040,0,N/A
