SnapshotDate,CustomerID,ProductID,ProductName,ProductCategory,ProductSubCategory,BranchID,Balance_VND,NPLGroup
2023-03-31,C00001,P003,Tiết kiệm có kỳ hạn 3 tháng,Deposit,TD,B026,131077791,N/A
2023-03-31,C00001,P201,Thẻ ghi nợ nội địa,Card,Debit,B026,0,N/A
2023-03-31,C00002,P003,Tiết kiệm có kỳ hạn 3 tháng,Deposit,TD,B012,78461244024,N/A
2023-03-31,C00002,P007,Chứng chỉ tiền gửi,Deposit,CD,B012,18453573187,N/A
2023-03-31,C00002,P001,Tài khoản thanh toán,Deposit,CA,B012,10666579796,N/A
2023-03-31,C00002,P002,Tiết kiệm không kỳ hạn,Deposit,SA,B012,26614236082,N/A
2023-03-31,C00002,P103,Vay tiêu dùng tín chấp,Loan,Consumer,B012,67394350861,Nhóm 1
2023-03-31,C00002,P206,Thẻ tín dụng Hạng Sang,Card,Credit,B012,0,N/A
2023-03-31,C00002,P204,Thẻ tín dụng Vàng,Card,Credit,B012,0,N/A
2023-03-31,C00002,P205,Thẻ tín dụng Bạch Kim,Card,Credit,B012,0,N/A
2023-03-31,C00002,P302,Quản lý gia sản,Wealth,WM,B012,21264287565,N/A
2023-03-31,C00003,P001,Tài khoản thanh toán,Deposit,CA,B014,385964484,N/A
2023-03-31,C00003,P105,Vay thấu chi tài khoản,Loan,Overdraft,B014,2653382825,Nhóm 1
2023-03-31,C00003,P202,Thẻ ghi nợ quốc tế Visa,Card,Debit,B014,0,N/A
2023-03-31,C00004,P004,Tiết kiệm có kỳ hạn 6 tháng,Deposit,TD,B024,178215995,N/A
2023-03-31,C00004,P102,Vay mua ô tô,Loan,AutoLoan,B024,921712640,Nhóm 1
2023-03-31,C00004,P201,Thẻ ghi nợ nội địa,Card,Debit,B024,0,N/A
2023-03-31,C00005,P003,Tiết kiệm có kỳ hạn 3 tháng,Deposit,TD,B040,241970792,N/A
2023-03-31,C00005,P104,Vay kinh doanh hộ cá thể,Loan,SME,B040,770492055,Nhóm 1
2023-03-31,C00005,P201,Thẻ ghi nợ nội địa,Card,Debit,B040,0,N/A
2023-03-31,C00006,P003,Tiết kiệm có kỳ hạn 3 tháng,Deposit,TD,B040,404351280,N/A
2023-03-31,C00006,P102,Vay mua ô tô,Loan,AutoLoan,B040,698745437,Nhóm 1
2023-03-31,C00006,P203,Thẻ tín dụng Chuẩn,Card,Credit,B040,5004403,Nhóm 1
