SnapshotDate,CustomerID,ProductID,ProductName,ProductCategory,ProductSubCategory,BranchID,Balance_VND,NPLGroup
2025-01-31,C00001,P003,Tiết kiệm có kỳ hạn 3 tháng,Deposit,TD,B026,214186952,N/A
2025-01-31,C00001,P201,Thẻ ghi nợ nội địa,Card,Debit,B026,0,N/A
2025-01-31,C00002,P003,Tiết kiệm có kỳ hạn 3 tháng,Deposit,TD,B012,17783454488,N/A
2025-01-31,C00002,P007,Chứng chỉ tiền gửi,Deposit,CD,B012,15093513542,N/A
2025-01-31,C00002,P001,Tài khoản thanh toán,Deposit,CA,B012,20187529517,N/A
2025-01-31,C00002,P002,Tiết kiệm không kỳ hạn,Deposit,SA,B012,11690153441,N/A
2025-01-31,C00002,P103,Vay tiêu dùng tín chấp,Loan,Consumer,B012,76886160867,Nhóm 3
2025-01-31,C00002,P206,Thẻ tín dụng Hạng Sang,Card,Credit,B012,772048625,Nhóm 1
2025-01-31,C00002,P204,Thẻ tín dụng Vàng,Card,Credit,B012,170941483,Nhóm 1
2025-01-31,C00002,P205,Thẻ tín dụng Bạch Kim,Card,Credit,B012,0,N/A
2025-01-31,C00002,P302,Quản lý gia sản,Wealth,WM,B012,50972771964,N/A
2025-01-31,C00003,P001,Tài khoản thanh toán,Deposit,CA,B014,166292700,N/A
2025-01-31,C00003,P105,Vay thấu chi tài khoản,Loan,Overdraft,B014,587456154,Nhóm 1
2025-01-31,C00003,P202,Thẻ ghi nợ quốc tế Visa,Card,Debit,B014,0,N/A
2025-01-31,C00004,P004,Tiết kiệm có kỳ hạn 6 tháng,Deposit,TD,B024,277803250,N/A
2025-01-31,C00004,P102,Vay mua ô tô,Loan,AutoLoan,B024,1601512335,Nhóm 1
2025-01-31,C00004,P201,Thẻ ghi nợ nội địa,Card,Debit,B024,0,N/A
2025-01-31,C00005,P003,Tiết kiệm có kỳ hạn 3 tháng,Deposit,TD,B040,231853014,N/A
2025-01-31,C00005,P104,Vay kinh doanh hộ cá thể,Loan,SME,B040,947321538,Nhóm 1
2025-01-31,C00005,P201,Thẻ ghi nợ nội địa,Card,Debit,B040,0,N/A
2025-01-31,C00006,P003,Tiết kiệm có kỳ hạn 3 tháng,Deposit,TD,B040,224755741,N/A
2025-01-31,C00006,P102,Vay mua ô tô,Loan,AutoLoan,B040,915934496,Nhóm 1
2025-01-31,C00006,P203,Thẻ tín dụng Chuẩn,Card,Credit,B040,1631158,Nhóm 1
2025-01-31,C00007,P005,Tiết kiệm có kỳ hạn 12 tháng,Deposit,TD,B042,1196304858,N/A
2025-01-31,C00007,P006,Tiết kiệm có kỳ hạn 24 tháng,Deposit,TD,B042,1047456472,N/A
2025-01-31,C00007,P203,Thẻ tín dụng Chuẩn,Card,Credit,B042,0,N/A
2025-01-31,C00007,P202,Thẻ ghi nợ quốc tế Visa,Card,Debit,B042,0,N/A
2025-01-31,C00007,P305,Vàng tích lũy,Wealth,Gold,B042,529853251,N/A
2025-01-31,C00008,P001,Tài khoản thanh toán,Deposit,CA,B045,42253646419,N/A
2025-01-31,C00008,P004,Tiết kiệm có kỳ hạn 6 tháng,Deposit,TD,B045,23137204895,N/A
2025-01-31,C00008,P002,Tiết kiệm không kỳ hạn,Deposit,SA,B045,13254393391,N/A
2025-01-31,C00008,P006,Tiết kiệm có kỳ hạn 24 tháng,Deposit,TD,B045,11053975725,N/A
2025-01-31,C00008,P104,Vay kinh doanh hộ cá thể,Loan,SME,B045,94070050231,Nhóm 1
2025-01-31,C00008,P206,Thẻ tín dụng Hạng Sang,Card,Credit,B045,2335349001,Nhóm 1
2025-01-31,C00008,P205,Thẻ tín dụng Bạch Kim,Card,Credit,B045,639415929,Nhóm 1
2025-01-31,C00008,P204,Thẻ tín dụng Vàng,Card,Credit,B045,234747422,Nhóm 1
2025-01-31,C00008,P305,Vàng tích lũy,Wealth,Gold,B045,17514983037,N/A
2025-01-31,C00009,P007,Chứng chỉ tiền gửi,Deposit,CD,B004,1133850054,N/A
2025-01-31,C00009,P002,Tiết kiệm không kỳ hạn,Deposit,SA,B004,763490327,N/A
2025-01-31,C00009,P203,Thẻ tín dụng Chuẩn,Card,Credit,B004,0,N/A
2025-01-31,C00009,P202,Thẻ ghi nợ quốc tế Visa,Card,Debit,B004,0,N/A
2025-01-31,C00010,P005,Tiết kiệm có kỳ hạn 12 tháng,Deposit,TD,B005,2150868578,N/A
2025-01-31,C00010,P003,Tiết kiệm có kỳ hạn 3 tháng,Deposit,TD,B005,1055354713,N/A
2025-01-31,C00010,P103,Vay tiêu dùng tín chấp,Loan,Consumer,B005,6027314743,Nhóm 1
2025-01-31,C00010,P202,Thẻ ghi nợ quốc tế Visa,Card,Debit,B005,0,N/A
2025-01-31,C00010,P203,Thẻ tín dụng Chuẩn,Card,Credit,B005,9177476,Nhóm 1
2025-01-31,C00010,P302,Quản lý gia sản,Wealth,WM,B005,834893239,N/A
2025-01-31,C00011,P004,Tiết kiệm có kỳ hạn 6 tháng,Deposit,TD,B027,260597460,N/A
2025-01-31,C00011,P202,Thẻ ghi nợ quốc tế Visa,Card,Debit,B027,0,N/A
2025-01-31,C00012,P004,Tiết kiệm có kỳ hạn 6 tháng,Deposit,TD,B039,983041031,N/A
2025-01-31,C00012,P003,Tiết kiệm có kỳ hạn 3 tháng,Deposit,TD,B039,2056404969,N/A
2025-01-31,C00012,P101,Vay mua nhà,Loan,Mortgage,B039,1393255845,Nhóm 1
2025-01-31,C00012,P204,Thẻ tín dụng Vàng,Card,Credit,B039,0,N/A
2025-01-31,C00012,P202,Thẻ ghi nợ quốc tế Visa,Card,Debit,B039,0,N/A
2025-01-31,C00013,P003,Tiết kiệm có kỳ hạn 3 tháng,Deposit,TD,B043,97113825,N/A
2025-01-31,C00013,P106,Vay du học,Loan,Education,B043,2873653036,Nhóm 1
2025-01-31,C00013,P202,Thẻ ghi nợ quốc tế Visa,Card,Debit,B043,0,N/A
2025-01-31,C00014,P001,Tài khoản thanh toán,Deposit,CA,B008,157408122,N/A
2025-01-31,C00014,P106,Vay du học,Loan,Education,B008,565706943,Nhóm 1
2025-01-31,C00014,P202,Thẻ ghi nợ quốc tế Visa,Card,Debit,B008,0,N/A
