TransactionID,Date,CustomerID,ProductID,BranchID,ChannelID,ChannelName,TransactionTypeID,TransactionTypeName,Direction,Amount_VND,Fee_VND,ServiceTimeMinutes
TX000018243,2023-03-31,C04101,P004,B025,CH4,Mobile Banking,T02,Rút tiền mặt,Debit,-1781180,0,
TX000018244,2023-03-23,C04101,P204,B025,CH3,Internet Banking,T08,Nhận lương,Credit,5117952,0,
TX000018245,2023-03-01,C04101,P004,B025,CH2,ATM,T08,Nhận lương,Credit,51305654,0,
TX000018246,2023-03-08,C00104,P002,B017,CH3,Internet Banking,T01,Gửi tiền mặt,Credit,181343,0,
TX000018247,2023-03-24,C00104,P002,B017,CH4,Mobile Banking,T07,Trả nợ vay,Debit,-144244,0,
TX000018248,2023-03-19,C00104,P203,B017,CH3,Internet Banking,T07,Trả nợ vay,Debit,-153806,0,
TX000018249,2023-03-17,C00104,P002,B017,CH4,Mobile Banking,T06,Mua sắm thẻ,Debit,-331680,800,
TX000018250,2023-03-04,C00104,P203,B017,CH1,Quầy giao dịch,T02,Rút tiền mặt,Debit,-355475,5000,7.9
TX000018251,2023-03-28,C00104,P203,B017,CH1,Quầy giao dịch,T01,Gửi tiền mặt,Credit,685658,0,10.1
TX000018252,2023-03-21,C00104,P203,B017,CH2,ATM,T06,Mua sắm thẻ,Debit,-222389,2000,
TX000018253,2023-03-15,C00104,P002,B017,CH3,Internet Banking,T08,Nhận lương,Credit,791023,0,
TX000018254,2023-03-16,C00104,P203,B017,CH3,Internet Banking,T02,Rút tiền mặt,Debit,-92508,0,
TX000018255,2023-03-08,C00104,P002,B017,CH2,ATM,T05,Thanh toán hóa đơn,Debit,-1418781,11000,
TX000018256,2023-03-12,C02792,P202,B004,CH3,Internet Banking,T07,Trả nợ vay,Debit,-1097748,0,
TX000018257,2023-03-01,C02792,P007,B004,CH2,ATM,T04,Chuyển khoản liên ngân hàng,Debit,-304086,11000,
TX000018258,2023-03-19,C04158,P204,B050,CH4,Mobile Banking,T04,Chuyển khoản liên ngân hàng,Debit,-12499357,4400,
TX000018259,2023-03-02,C04158,P005,B050,CH4,Mobile Banking,T05,Thanh toán hóa đơn,Debit,-7823796,4400,
