TransactionID,Date,CustomerID,ProductID,BranchID,ChannelID,ChannelName,TransactionTypeID,TransactionTypeName,Direction,Amount_VND,Fee_VND,ServiceTimeMinutes
TX000217099,2025-01-02,C03128,P003,B025,CH1,Quầy giao dịch,T05,Thanh toán hóa đơn,Debit,-6992719,11000,17.0
TX000217100,2025-01-06,C03128,P202,B025,CH4,Mobile Banking,T04,Chuyển khoản liên ngân hàng,Debit,-1326823,4400,
TX000217101,2025-01-17,C02350,P202,B011,CH3,Internet Banking,T01,Gửi tiền mặt,Credit,960220,0,
TX000217102,2025-01-14,C02350,P001,B011,CH4,Mobile Banking,T01,Gửi tiền mặt,Credit,2089083,0,
TX000217103,2025-01-28,C02350,P001,B011,CH4,Mobile Banking,T03,Chuyển khoản nội bộ,Debit,-1472263,4400,
TX000217104,2025-01-11,C02350,P001,B011,CH4,Mobile Banking,T04,Chuyển khoản liên ngân hàng,Debit,-1574388,4400,
TX000217105,2025-01-29,C02350,P202,B011,CH4,Mobile Banking,T08,Nhận lương,Credit,12632302,0,
TX000217106,2025-01-27,C02350,P203,B011,CH4,Mobile Banking,T07,Trả nợ vay,Debit,-8889591,0,
TX000217107,2025-01-08,C01217,P001,B045,CH1,Quầy giao dịch,T05,Thanh toán hóa đơn,Debit,-1881787,11000,2.0
TX000217108,2025-01-30,C01217,P201,B045,CH3,Internet Banking,T03,Chuyển khoản nội bộ,Debit,-292008,4400,
TX000217109,2025-01-16,C02420,P004,B050,CH1,Quầy giao dịch,T04,Chuyển khoản liên ngân hàng,Debit,-1363949,11000,3.9
TX000217110,2025-01-06,C02420,P204,B050,CH3,Internet Banking,T06,Mua sắm thẻ,Debit,-1528459,917,
TX000217111,2025-01-02,C02420,P004,B050,CH3,Internet Banking,T08,Nhận lương,Credit,1226357,0,
TX000217112,2025-01-21,C02420,P001,B050,CH6,Đại lý,T03,Chuyển khoản nội bộ,Debit,-1134785,11000,
TX000217113,2025-01-13,C02420,P001,B050,CH4,Mobile Banking,T05,Thanh toán hóa đơn,Debit,-12293702,4400,
TX000217114,2025-01-16,C02295,P006,B041,CH1,Quầy giao dịch,T05,Thanh toán hóa đơn,Debit,-3173077,11000,15.1
TX000217115,2025-01-21,C02295,P006,B041,CH1,Quầy giao dịch,T08,Nhận lương,Credit,3714739,0,17.6
TX000217116,2025-01-10,C02295,P204,B041,CH3,Internet Banking,T07,Trả nợ vay,Debit,-5302017,0,
TX000217117,2025-01-10,C02295,P006,B041,CH4,Mobile Banking,T06,Mua sắm thẻ,Debit,-280701,800,
TX000217118,2025-01-21,C02295,P204,B041,CH4,Mobile Banking,T04,Chuyển khoản liên ngân hàng,Debit,-3992371,4400,
TX000217119,2025-01-06,C02295,P006,B041,CH1,Quầy giao dịch,T06,Mua sắm thẻ,Debit,-4511303,6766,17.2
TX000217120,2025-01-16,C02295,P006,B041,CH1,Quầy giao dịch,T07,Trả nợ vay,Debit,-3481468,0,14.9
TX000217121,2025-01-26,C02295,P204,B041,CH4,Mobile Banking,T04,Chuyển khoản liên ngân hàng,Debit,-2981181,4400,
TX000217122,2025-01-10,C02295,P006,B041,CH1,Quầy giao dịch,T01,Gửi tiền mặt,Credit,10869688,0,27.5
TX000217123,2025-01-08,C02295,P204,B041,CH3,Internet Banking,T08,Nhận lương,Credit,3187435,0,
TX000217124,2025-01-29,C02295,P203,B041,CH3,Internet Banking,T02,Rút tiền mặt,Debit,-3500182,0,
TX000217125,2025-01-06,C01532,P004,B037,CH3,Internet Banking,T02,Rút tiền mặt,Debit,-2277482,0,
