TransactionID,Date,CustomerID,ProductID,BranchID,ChannelID,ChannelName,TransactionTypeID,TransactionTypeName,Direction,Amount_VND,Fee_VND,ServiceTimeMinutes
TX000108795,2024-01-10,C04382,P003,B026,CH1,Quầy giao dịch,T04,Chuyển khoản liên ngân hàng,Debit,-520031,11000,12.0
TX000108796,2024-01-06,C04382,P203,B026,CH3,Internet Banking,T01,Gửi tiền mặt,Credit,7784797,0,
TX000108797,2024-01-26,C04382,P006,B026,CH2,ATM,T03,Chuyển khoản nội bộ,Debit,-1470650,11000,
TX000108798,2024-01-30,C00596,P002,B003,CH2,ATM,T05,Thanh toán hóa đơn,Debit,-2741190,11000,
TX000108799,2024-01-12,C00596,P202,B003,CH3,Internet Banking,T02,Rút tiền mặt,Debit,-8660508,0,
TX000108800,2024-01-28,C00596,P204,B003,CH2,ATM,T03,Chuyển khoản nội bộ,Debit,-5964739,11000,
TX000108801,2024-01-05,C00596,P204,B003,CH1,Quầy giao dịch,T02,Rút tiền mặt,Debit,-262820,5000,12.0
TX000108802,2024-01-18,C00596,P204,B003,CH4,Mobile Banking,T04,Chuyển khoản liên ngân hàng,Debit,-550636,4400,
TX000108803,2024-01-13,C00596,P202,B003,CH2,ATM,T04,Chuyển khoản liên ngân hàng,Debit,-9245270,11000,
TX000108804,2024-01-28,C00596,P002,B003,CH4,Mobile Banking,T06,Mua sắm thẻ,Debit,-24355875,14613,
TX000108805,2024-01-29,C03240,P203,B036,CH3,Internet Banking,T01,Gửi tiền mặt,Credit,705429,0,
TX000108806,2024-01-22,C03240,P203,B036,CH4,Mobile Banking,T05,Thanh toán hóa đơn,Debit,-425553,4400,
TX000108807,2024-01-13,C00812,P203,B050,CH4,Mobile Banking,T04,Chuyển khoản liên ngân hàng,Debit,-988547,4400,
TX000108808,2024-01-10,C00812,P203,B050,CH4,Mobile Banking,T04,Chuyển khoản liên ngân hàng,Debit,-1560319,4400,
TX000108809,2024-01-15,C00812,P005,B050,CH3,Internet Banking,T01,Gửi tiền mặt,Credit,894040,0,
TX000108810,2024-01-02,C00812,P005,B050,CH2,ATM,T05,Thanh toán hóa đơn,Debit,-1788282,11000,
TX000108811,2024-01-19,C00595,P003,B007,CH6,Đại lý,T05,Thanh toán hóa đơn,Debit,-913813,11000,
TX000108812,2024-01-29,C00595,P003,B007,CH3,Internet Banking,T02,Rút tiền mặt,Debit,-898318,0,
TX000108813,2024-01-31,C00595,P003,B007,CH3,Internet Banking,T08,Nhận lương,Credit,461640,0,
TX000108814,2024-01-17,C00595,P203,B007,CH4,Mobile Banking,T05,Thanh toán hóa đơn,Debit,-1782966,4400,
TX000108815,2024-01-12,C00595,P003,B007,CH4,Mobile Banking,T03,Chuyển khoản nội bộ,Debit,-594986,4400,
TX000108816,2024-01-07,C00595,P203,B007,CH3,Internet Banking,T02,Rút tiền mặt,Debit,-1006417,0,
TX000108817,2024-01-13,C03124,P204,B040,CH3,Internet Banking,T02,Rút tiền mặt,Debit,-846562,0,
TX000108818,2024-01-21,C03124,P202,B040,CH1,Quầy giao dịch,T04,Chuyển khoản liên ngân hàng,Debit,-959217,11000,16.2
TX000108819,2024-01-11,C03124,P202,B040,CH4,Mobile Banking,T01,Gửi tiền mặt,Credit,513953,0,
TX000108820,2024-01-02,C03124,P007,B040,CH1,Quầy giao dịch,T07,Trả nợ vay,Debit,-8993877,0,12.0
TX000108821,2024-01-28,C03124,P202,B040,CH4,Mobile Banking,T06,Mua sắm thẻ,Debit,-6272501,3763,
TX000108822,2024-01-14,C03124,P202,B040,CH1,Quầy giao dịch,T06,Mua sắm thẻ,Debit,-3091266,4636,12.2
