TransactionID,Date,CustomerID,ProductID,BranchID,ChannelID,ChannelName,TransactionTypeID,TransactionTypeName,Direction,Amount_VND,Fee_VND,ServiceTimeMinutes
TX000226187,2025-02-21,C01463,P203,B048,CH1,Quầy giao dịch,T04,Chuyển khoản liên ngân hàng,Debit,-385592,11000,8.4
TX000226188,2025-02-14,C01463,P004,B048,CH3,Internet Banking,T03,Chuyển khoản nội bộ,Debit,-924188,4400,
TX000226189,2025-02-02,C01463,P203,B048,CH3,Internet Banking,T03,Chuyển khoản nội bộ,Debit,-309416,4400,
TX000226190,2025-02-10,C01463,P203,B048,CH4,Mobile Banking,T03,Chuyển khoản nội bộ,Debit,-536439,4400,
TX000226191,2025-02-17,C01463,P004,B048,CH1,Quầy giao dịch,T03,Chuyển khoản nội bộ,Debit,-313081,11000,10.2
TX000226192,2025-02-11,C01577,P004,B035,CH3,Internet Banking,T06,Mua sắm thẻ,Debit,-1063080,800,
TX000226193,2025-02-08,C01577,P203,B035,CH4,Mobile Banking,T08,Nhận lương,Credit,10806473,0,
TX000226194,2025-02-26,C01577,P004,B035,CH3,Internet Banking,T03,Chuyển khoản nội bộ,Debit,-10682991,4400,
TX000226195,2025-02-19,C01577,P007,B035,CH3,Internet Banking,T06,Mua sắm thẻ,Debit,-4049399,2429,
TX000226196,2025-02-12,C01747,P003,B017,CH3,Internet Banking,T08,Nhận lương,Credit,914213,0,
TX000226197,2025-02-04,C01747,P003,B017,CH4,Mobile Banking,T01,Gửi tiền mặt,Credit,567783,0,
TX000226198,2025-02-27,C01747,P003,B017,CH4,Mobile Banking,T08,Nhận lương,Credit,2257818,0,
TX000226199,2025-02-13,C01747,P003,B017,CH1,Quầy giao dịch,T06,Mua sắm thẻ,Debit,-562532,2000,12.4
TX000226200,2025-02-05,C01747,P003,B017,CH2,ATM,T01,Gửi tiền mặt,Credit,602480,0,
TX000226201,2025-02-14,C03004,P002,B050,CH5,Phone Banking,T02,Rút tiền mặt,Debit,-349491,0,
TX000226202,2025-02-15,C01325,P203,B001,CH3,Internet Banking,T05,Thanh toán hóa đơn,Debit,-92269,4400,
TX000226203,2025-02-26,C01325,P203,B001,CH5,Phone Banking,T01,Gửi tiền mặt,Credit,1106467,0,
TX000226204,2025-02-17,C01325,P005,B001,CH4,Mobile Banking,T07,Trả nợ vay,Debit,-1566534,0,
TX000226205,2025-02-22,C01325,P203,B001,CH4,Mobile Banking,T04,Chuyển khoản liên ngân hàng,Debit,-91070,4400,
TX000226206,2025-02-07,C01325,P203,B001,CH3,Internet Banking,T07,Trả nợ vay,Debit,-1055884,0,
TX000226207,2025-02-17,C03334,P007,B003,CH4,Mobile Banking,T01,Gửi tiền mặt,Credit,182436,0,
TX000226208,2025-02-15,C03334,P007,B003,CH2,ATM,T01,Gửi tiền mặt,Credit,1478230,0,
TX000226209,2025-02-14,C03334,P203,B003,CH1,Quầy giao dịch,T01,Gửi tiền mặt,Credit,88979,0,15.0
TX000226210,2025-02-26,C03334,P203,B003,CH2,ATM,T07,Trả nợ vay,Debit,-290018,0,
TX000226211,2025-02-13,C00232,P006,B050,CH2,ATM,T04,Chuyển khoản liên ngân hàng,Debit,-560941,11000,
TX000226212,2025-02-09,C00232,P202,B050,CH3,Internet Banking,T07,Trả nợ vay,Debit,-992080,0,
TX000226213,2025-02-02,C00232,P202,B050,CH3,Internet Banking,T08,Nhận lương,Credit,1474315,0,
TX000226214,2025-02-20,C00232,P006,B050,CH4,Mobile Banking,T07,Trả nợ vay,Debit,-1555569,0,
TX000226215,2025-02-10,C00232,P006,B050,CH1,Quầy giao dịch,T04,Chuyển khoản liên ngân hàng,Debit,-128870,11000,15.9
TX000226216,2025-02-02,C03561,P203,B047,CH1,Quầy giao dịch,T03,Chuyển khoản nội bộ,Debit,-4253106,11000,7.7
TX000226217,2025-02-01,C03561,P203,B047,CH1,Quầy giao dịch,T03,Chuyển khoản nội bộ,Debit,-217442,11000,7.0
TX000226218,2025-02-01,C03561,P007,B047,CH2,ATM,T07,Trả nợ vay,Debit,-178823,0,
TX000226219,2025-02-09,C03561,P007,B047,CH3,Internet Banking,T03,Chuyển khoản nội bộ,Debit,-331119,4400,
TX000226220,2025-02-16,C03561,P007,B047,CH3,Internet Banking,T04,Chuyển khoản liên ngân hàng,Debit,-535475,4400,
TX000226221,2025-02-20,C04342,P203,B019,CH3,Internet Banking,T01,Gửi tiền mặt,Credit,7449667,0,
TX000226222,2025-02-14,C04342,P007,B019,CH1,Quầy giao dịch,T02,Rút tiền mặt,Debit,-4923777,5000,12.6
TX000226223,2025-02-19,C04342,P204,B019,CH1,Quầy giao dịch,T03,Chuyển khoản nội bộ,Debit,-2833098,11000,22.7
TX000226224,2025-02-12,C04342,P007,B019,CH3,Internet Banking,T07,Trả nợ vay,Debit,-4719598,0,
TX000226225,2025-02-16,C04342,P007,B019,CH1,Quầy giao dịch,T04,Chuyển khoản liên ngân hàng,Debit,-13527393,11000,18.1
TX000226226,2025-02-09,C04342,P004,B019,CH3,Internet Banking,T08,Nhận lương,Credit,701137,0,
TX000226227,2025-02-08,C04688,P007,B049,CH3,Internet Banking,T06,Mua sắm thẻ,Debit,-189465,800,
TX000226228,2025-02-16,C04688,P203,B049,CH1,Quầy giao dịch,T02,Rút tiền mặt,Debit,-127611,5000,12.5
TX000226229,2025-02-08,C04688,P203,B049,CH1,Quầy giao dịch,T02,Rút tiền mặt,Debit,-186294,5000,8.0
TX000226230,2025-02-24,C04688,P007,B049,CH3,Internet Banking,T04,Chuyển khoản liên ngân hàng,Debit,-916054,4400,
TX000226231,2025-02-20,C01914,P004,B008,CH4,Mobile Banking,T05,Thanh toán hóa đơn,Debit,-450819,4400,
TX000226232,2025-02-04,C00645,P201,B022,CH4,Mobile Banking,T03,Chuyển khoản nội bộ,Debit,-192912,4400,
TX000226233,2025-02-15,C00645,P006,B022,CH4,Mobile Banking,T03,Chuyển khoản nội bộ,Debit,-950698,4400,
TX000226234,2025-02-15,C00645,P201,B022,CH6,Đại lý,T04,Chuyển khoản liên ngân hàng,Debit,-184806,11000,
TX000226235,2025-02-19,C00645,P006,B022,CH3,Internet Banking,T03,Chuyển khoản nội bộ,Debit,-208657,4400,
TX000226236,2025-02-16,C00773,P202,B010,CH4,Mobile Banking,T03,Chuyển khoản nội bộ,Debit,-715809,4400,
TX000226237,2025-02-11,C00773,P006,B010,CH4,Mobile Banking,T01,Gửi tiền mặt,Credit,106562,0,
TX000226238,2025-02-27,C00773,P202,B010,CH4,Mobile Banking,T06,Mua sắm thẻ,Debit,-485794,800,
TX000226239,2025-02-07,C00773,P202,B010,CH3,Internet Banking,T02,Rút tiền mặt,Debit,-2954961,0,
TX000226240,2025-02-09,C03227,P001,B050,CH3,Internet Banking,T08,Nhận lương,Credit,5983291,0,
TX000226241,2025-02-16,C03227,P201,B050,CH4,Mobile Banking,T08,Nhận lương,Credit,126840,0,
TX000226242,2025-02-05,C02659,P001,B026,CH4,Mobile Banking,T01,Gửi tiền mặt,Credit,322430,0,
TX000226243,2025-02-11,C02593,P201,B038,CH3,Internet Banking,T01,Gửi tiền mặt,Credit,217674,0,
TX000226244,2025-02-15,C02593,P007,B038,CH4,Mobile Banking,T05,Thanh toán hóa đơn,Debit,-855949,4400,
TX000226245,2025-02-06,C02593,P007,B038,CH3,Internet Banking,T07,Trả nợ vay,Debit,-332530,0,
TX000226246,2025-02-20,C04130,P005,B005,CH4,Mobile Banking,T03,Chuyển khoản nội bộ,Debit,-329076,4400,
TX000226247,2025-02-24,C01002,P004,B030,CH3,Internet Banking,T01,Gửi tiền mặt,Credit,1550652,0,
TX000226248,2025-02-23,C01002,P004,B030,CH4,Mobile Banking,T06,Mua sắm thẻ,Debit,-449742,800,
TX000226249,2025-02-06,C01002,P004,B030,CH3,Internet Banking,T05,Thanh toán hóa đơn,Debit,-2175275,4400,
TX000226250,2025-02-10,C01002,P202,B030,CH4,Mobile Banking,T02,Rút tiền mặt,Debit,-397149,0,
TX000226251,2025-02-20,C03817,P202,B030,CH1,Quầy giao dịch,T05,Thanh toán hóa đơn,Debit,-507243,11000,17.1
TX000226252,2025-02-03,C03817,P002,B030,CH4,Mobile Banking,T01,Gửi tiền mặt,Credit,1179136,0,
TX000226253,2025-02-26,C01864,P005,B045,CH3,Internet Banking,T03,Chuyển khoản nội bộ,Debit,-1349521,4400,
TX000226254,2025-02-24,C02401,P201,B019,CH4,Mobile Banking,T01,Gửi tiền mặt,Credit,746024,0,
TX000226255,2025-02-12,C02401,P007,B019,CH4,Mobile Banking,T06,Mua sắm thẻ,Debit,-224470,800,
TX000226256,2025-02-21,C02401,P201,B019,CH3,Internet Banking,T01,Gửi tiền mặt,Credit,334715,0,
TX000226257,2025-02-28,C02401,P201,B019,CH1,Quầy giao dịch,T02,Rút tiền mặt,Debit,-159127,5000,8.3
TX000226258,2025-02-25,C02401,P201,B019,CH2,ATM,T01,Gửi tiền mặt,Credit,287451,0,
